#{"t_start": 1774119928.7488496, "env_id": null}
r,l,t,is_success,final_distance
-115.702534,200,1.24498,0.0,0.19764766578371742
-132.197098,200,1.366494,0.0,0.5745892200345754
-240.738581,200,1.481943,0.0,1.665559854448395
-164.50058,200,1.596568,0.0,0.8070147913059607
-132.694706,200,1.711159,0.0,0.14251398930279222
-73.108272,200,1.825687,0.0,0.3605416156172783
-139.239446,200,1.942257,0.0,1.1360786417424236
-85.858254,200,2.059726,0.0,0.4841405460511172
-157.615985,200,2.170253,0.0,0.7015913036957688
-132.448595,200,2.282816,0.0,0.7720492805233028
-121.691822,200,2.724499,0.0,0.6482974707485543
-98.798734,200,2.853047,0.0,0.38829178989600077
-68.943754,200,2.9666,0.0,0.3263678075214787
-147.778709,200,3.085089,0.0,0.6668752807818977
-110.779961,200,3.209335,0.0,0.6224863281403437
-0.046879,1,3.210336,1.0,0.02700421279170704
-94.641532,200,3.324846,0.0,0.5406945746930722
-85.811866,200,3.439347,0.0,0.07844238341062236
-218.06548,200,3.553393,0.0,0.6048531167742243
-124.636157,200,3.67191,0.0,0.6470707984428941
-156.717925,200,3.794969,0.0,0.5920107219542917
-88.825692,200,4.298118,0.0,0.65746681784775
-123.765829,200,4.447847,0.0,0.9227635980343808
-172.734507,200,4.567363,0.0,1.579808253396987
-119.720364,200,4.683062,0.0,0.4718676406807635
-93.670435,192,4.79561,1.0,0.04878196492845841
-127.540912,200,4.908997,0.0,0.4783690545904913
-105.715271,200,5.023526,0.0,0.31169674385030516
-151.463988,200,5.144053,0.0,0.6628585894743559
-108.912182,200,5.262581,0.0,0.6091534310903849
-215.291356,200,5.377104,0.0,0.5740391659158082
-121.663831,200,5.788166,0.0,0.7831572288244658
-26.760864,86,5.842674,1.0,0.02758781157582632
-87.732572,200,5.979199,0.0,0.574907739368535
-147.168274,200,6.102231,0.0,0.7153705410765648
-54.817436,155,6.199201,1.0,0.045921197128737254
-110.911653,200,6.326905,0.0,0.8569151523727719
-133.607858,200,6.447456,0.0,0.6998225456230196
-135.249578,200,6.575975,0.0,0.5157982414556685
-39.926663,155,6.676486,1.0,0.02804595067159226
-167.566461,200,6.801492,0.0,0.7426131155936789
-216.18594,200,6.916038,0.0,0.6859522129864015
-100.289383,200,7.035427,0.0,0.5842373381508505
-104.669057,200,7.458376,0.0,0.8724763305811454
-146.323057,200,7.601089,0.0,0.15972423795300025
-0.054881,1,7.602086,1.0,0.040473250137912954
-123.426872,200,7.721639,0.0,1.0617589246212171
-95.527317,200,7.838145,0.0,0.20896270893266408
-148.285839,200,7.952673,0.0,0.6861098282490897
-132.29031,200,8.066195,0.0,0.916480637001446
-172.157441,200,8.18071,0.0,1.2587444051009247
-14.304682,19,8.192713,1.0,0.04555893533244967
-95.27299,200,8.311783,0.0,0.8300459145572062
-106.963706,174,8.413341,1.0,0.04695595321993705
-156.592805,200,8.522845,0.0,0.5753988723443404
-77.4879,200,8.951518,0.0,0.6560789933532347
-110.405133,200,9.087036,0.0,0.777520992858145
-82.632748,200,9.224037,0.0,0.6667814822740769
-130.093007,200,9.349753,0.0,0.2914771577278727
-130.959134,200,9.477284,0.0,0.2983568327871957
-142.873239,200,9.600355,0.0,0.7555979755250848
-123.395634,179,9.709788,1.0,0.04930970165298769
-153.934809,200,9.829792,0.0,0.16433296753909096
-117.562392,200,9.943889,0.0,0.4302679057896231
-126.019061,200,10.060431,0.0,0.21051518754533413
-107.912744,200,10.47332,0.0,0.22534816009219355
-84.384349,200,10.612427,0.0,0.6052409745257253
-156.594047,200,10.734966,0.0,0.6251071357271182
-127.70012,200,10.850486,0.0,0.2875416541521458
-97.933466,200,10.96702,0.0,0.5063997703242347
-148.447512,200,11.078536,0.0,0.21491135215236706
-104.489019,200,11.194072,0.0,0.4044399519257282
-154.205954,200,11.312116,0.0,0.6642712754461693
-114.660763,200,11.424669,0.0,0.778446957544809
-118.116137,200,11.538126,0.0,0.36123008123420397
-84.448373,200,11.959091,0.0,0.6606838163679735
-162.031029,200,12.096768,0.0,0.8296229879325597
-110.835931,200,12.246283,0.0,0.3764921972022183
-118.685738,200,12.368243,0.0,0.8713457181476804
-104.203018,200,12.487541,0.0,0.33881596899353783
-80.719534,142,12.569024,1.0,0.04066994799142973
-81.625658,200,12.683174,0.0,0.47774352113059154
-101.771402,200,12.801136,0.0,0.5551064813456968
-104.290565,200,12.913645,0.0,0.43984779384310296
-119.4412,200,13.030418,0.0,0.6321756224233153
-89.800144,200,13.14296,0.0,0.33595622771776423
-101.201965,200,13.561106,0.0,0.85337767229334
-149.314244,200,13.682646,0.0,0.6817507834013438
-68.54834,172,13.787189,1.0,0.04809001757499353
-100.423312,200,13.904226,0.0,0.5366665695864342
-88.733568,200,14.021772,0.0,0.7212968718533277
-100.166931,200,14.137346,0.0,0.6681886704631912
-57.977686,200,14.255862,0.0,0.3200221812293384
-95.154113,157,14.348366,1.0,0.047089456704002365
-9.042365,23,14.361365,1.0,0.01724819714640219
-170.291187,200,14.477503,0.0,0.9269354171430989
-112.17034,200,14.588034,0.0,0.6829175189654453
-128.788425,200,15.057278,0.0,0.9038123722023425
-86.179403,200,15.211426,0.0,0.5075012664144406
-84.828331,200,15.342608,0.0,0.3704441191570376
-75.225811,155,15.432723,1.0,0.04354047414470814
-134.289092,200,15.551798,0.0,0.6946854145306884
-84.998179,200,15.664253,0.0,0.5330139223755849
-5.604848,15,15.673271,1.0,0.02970344109853252
-113.796646,200,15.788745,0.0,0.20684270114198408
-96.276958,200,15.90374,0.0,0.5713154450178491
-34.966492,55,15.936739,1.0,0.04663385731774216
-91.0655,200,16.051282,0.0,0.278447829232252
-91.450925,200,16.167816,0.0,0.5870179448703887
-91.160447,200,16.581883,0.0,0.38430308321960754
-89.028806,200,16.711929,0.0,0.5702467293239118
-85.821289,200,16.844105,0.0,0.377236520483714
-10.966577,27,16.862095,1.0,0.03296929315953496
-31.889541,78,16.911606,1.0,0.048160352681714286
-110.932729,200,17.026124,0.0,0.6205630267436106
-102.11133,175,17.126586,1.0,0.03746654317519307
-1.225624,9,17.13359,1.0,0.049758649565550504
-88.145134,200,17.251116,0.0,0.4753920850552806
-26.852866,67,17.289122,1.0,0.049628729072699766
-0.272062,3,17.291121,1.0,0.018470365640334763
-90.780984,200,17.404073,0.0,0.4037601304891067
-120.033203,200,17.519533,0.0,0.7596839212517315
-107.051255,200,17.650054,0.0,0.4281966109695973
-51.861767,80,17.702583,1.0,0.03334123757619201
-121.532024,200,17.831136,0.0,0.741284089510115
-91.623785,200,18.296793,0.0,0.6335834545364635
-108.776516,200,18.430769,0.0,0.31806063476393004
-9.084359,58,18.466701,1.0,0.0463641542537874
-1.902975,14,18.474699,1.0,0.04498101719722083
-109.911432,200,18.590231,0.0,0.3944192411424034
-13.066872,58,18.624708,1.0,0.04566951672766728
-89.119126,200,18.739242,0.0,0.2982489351422257
-51.135788,117,18.810779,1.0,0.04785214129456729
-101.369854,200,18.930301,0.0,0.38681262833379904
-102.721433,200,19.04879,0.0,0.438943753204214
-50.211902,122,19.120327,1.0,0.03175103692758892
-98.401309,200,19.237875,0.0,0.5477262854878201
-114.577013,200,19.354398,0.0,0.31796123725999254
-145.87862,200,19.800538,0.0,0.8572947181221477
-114.028884,200,19.929949,0.0,0.4794920757268236
-82.665511,200,20.048476,0.0,0.3281611197827365
-101.989483,200,20.166031,0.0,0.43634892845049217
-90.552918,200,20.288549,0.0,0.4230028088454396
-94.843679,200,20.414686,0.0,0.5262407100351358
-69.856072,200,20.541223,0.0,0.4236333930146032
-123.775379,200,20.656744,0.0,0.7778437548740545
-98.492403,200,20.774414,0.0,0.2858330530508666
-9.751698,33,20.796467,1.0,0.03226169750016139
-105.538453,200,20.911214,0.0,0.5715698616008436
-98.456809,200,21.31723,0.0,0.5323420831589519
-113.166971,200,21.458734,0.0,0.6547670525476182
-104.903211,200,21.576255,0.0,0.5609916879931411
-120.375718,200,21.690781,0.0,0.7619263872644447
-99.353004,200,21.803822,0.0,0.5278663800892847
-97.193913,200,21.921342,0.0,0.42775518299236953
-100.498605,200,22.03487,0.0,0.6368019060511445
-9.34763,49,22.061871,1.0,0.039423436164386524
-9.7594,18,22.073882,1.0,0.044214729153344456
-100.431486,200,22.190394,0.0,0.6119165157233055
-2.098332,7,22.195396,1.0,0.04372041113982752
-93.364374,200,22.305433,0.0,0.9289656060154293
-24.744719,62,22.342434,1.0,0.040480818550913004
-20.827411,49,22.369436,1.0,0.03182651539966793
-111.352036,200,22.763345,0.0,0.506160773459599
-1.481378,6,22.770345,1.0,0.04832046079774356
-145.588788,200,22.923376,0.0,0.8364277984593341
-110.361722,200,23.054886,0.0,0.6486821451338478
-86.502605,200,23.181405,0.0,0.4907793895855356
-152.002212,200,23.306689,0.0,0.7628959148932785
-16.150804,29,23.324689,1.0,0.04052678306200861
-74.674312,200,23.444204,0.0,0.34788305902179867
-79.529858,200,23.564359,0.0,0.37693692605279405
-119.934448,200,23.683441,0.0,0.7015918362711869
-156.944148,200,23.797995,0.0,0.9054344416153011
-129.134372,200,23.910962,0.0,0.7626838572195195
-21.742105,32,23.930828,1.0,0.022251541116034373
-95.15675,200,24.318478,0.0,0.5661092396775881
-3.973371,13,24.329478,1.0,0.03900310580710408
-96.215571,200,24.474999,0.0,0.4116183990036179
-26.945194,71,24.517532,1.0,0.03738766253096726
-104.536948,200,24.636607,0.0,0.37148690934747325
-87.623117,200,24.749156,0.0,0.5609627007280934
-143.031877,200,24.867679,0.0,0.9252060845129068
-76.213003,200,24.979187,0.0,0.13157957768680162
-5.766449,16,24.989202,1.0,0.03459261123048245
-99.079731,200,25.102243,0.0,0.6198675885554837
-161.753625,200,25.216764,0.0,0.8459291106776077
-78.957838,200,25.329936,0.0,0.4302020724139485
-116.976352,200,25.444465,0.0,0.7326680405057059
-22.30694,54,25.475497,1.0,0.04930215333248693
-116.264237,200,25.951598,0.0,0.6691163105392891
-3.486327,11,25.962595,1.0,0.04047626795690114
-80.058832,200,26.102816,0.0,0.3652161627527255
-16.925167,45,26.129818,1.0,0.0495863290723387
-82.920033,200,26.247717,0.0,0.3343214975088556
-143.620966,200,26.365039,0.0,0.8787165379144212
-70.210817,200,26.482163,0.0,0.1470378816149409
-107.334046,200,26.597686,0.0,0.5883890900669704
-93.205238,200,26.712612,0.0,0.37117954638138684
-98.571564,200,26.827135,0.0,0.5232960953970324
-108.687988,200,26.944654,0.0,0.7288846416485522
-121.321983,200,27.061132,0.0,0.30877757364110325
-121.761806,200,27.451262,0.0,0.763479188330547
-31.325395,69,27.494263,1.0,0.04411328250488071
-89.247447,200,27.614258,0.0,0.4337977241516931
-88.348453,200,27.731322,0.0,0.4654842385136948
-99.363546,200,27.844844,0.0,0.45670654442920333
-162.369911,200,27.962386,0.0,0.849339831528698
-72.530048,200,28.077392,0.0,0.24126344812309852
-40.560328,71,28.116913,1.0,0.04908943431483157
-89.09195,200,28.23142,0.0,0.4396707695471816
-161.344037,200,28.346998,0.0,0.8697379205206703
-127.020567,200,28.46675,0.0,0.8005289981226099
-95.852487,200,28.908341,0.0,0.44436356280598277
-115.751581,200,29.063845,0.0,0.47799383059142936
-69.10087,200,29.181942,0.0,0.23869974593574467
-95.331168,200,29.298008,0.0,0.37959978368992403
-58.411523,200,29.416048,0.0,0.15618950104595059
-42.846544,58,29.453052,1.0,0.04059196464345679
-105.823509,200,29.564571,0.0,0.6505498020969172
-29.953679,31,29.583568,1.0,0.023411131976512727
-50.815607,81,29.630041,1.0,0.047967120072203745
-97.84898,200,29.745585,0.0,0.38909030478440065
-126.035506,200,29.861075,0.0,0.7728395859321978
-135.423191,200,29.975598,0.0,0.7412851865108409
-86.804281,200,30.092152,0.0,0.37896956606197063
-34.345062,63,30.420154,1.0,0.04469689286195347
-86.201035,200,30.572664,0.0,0.3998922084685671
-70.725569,105,30.641139,1.0,0.04969914087870664
-84.306649,200,30.756654,0.0,0.37932839524724343
-106.027745,200,30.869093,0.0,0.3880863631467181
-30.809567,42,30.894098,1.0,0.039070903336023
-97.266478,200,31.007114,0.0,0.5258528240822931
-101.598128,200,31.123673,0.0,0.6172259586810478
-104.533049,200,31.239162,0.0,0.4784254035871795
-145.452605,200,31.358867,0.0,0.8372074731906359
-113.136523,200,31.486406,0.0,0.4760052516673914
-119.088481,200,31.609458,0.0,0.30912381506121694
-69.877805,200,32.051407,0.0,0.10714736402485876
-105.309838,200,32.177943,0.0,0.33722254827997017
-62.272459,200,32.291512,0.0,0.1811768398702337
-75.658628,200,32.40456,0.0,0.4077247841620252
-97.72865,200,32.519653,0.0,0.5571309129148553
-151.446261,200,32.641175,0.0,0.9256728057252717
-0.04433,1,32.643172,1.0,0.024188137795726063
-86.21988,147,32.730695,1.0,0.044978003402826226
-80.90142,200,32.844191,0.0,0.3834022972265305
-95.760373,200,32.957711,0.0,0.3789280350386031
-108.051807,200,33.075178,0.0,0.3296844492016565
-146.754054,200,33.487239,0.0,0.8396688800886309
-113.825354,200,33.628268,0.0,0.7025959199656053
-104.826856,200,33.753809,0.0,0.18357691234561563
-137.780421,200,33.868287,0.0,0.8072478186401912
-83.398377,200,33.987017,0.0,0.35847580853929195
-100.805669,200,34.121037,0.0,0.3538960379013324
-92.486598,200,34.247601,0.0,0.49167638583495227
-14.891023,35,34.269568,1.0,0.045545884057234275
-120.44595,200,34.386154,0.0,0.7988413221484156
-97.461787,200,34.505176,0.0,0.5586623507909466
-118.018573,200,34.623276,0.0,0.744779082275185
-94.748625,200,35.040533,0.0,0.29983090391811323
-132.74862,200,35.178029,0.0,0.8071665714262084
-97.581909,200,35.302562,0.0,0.4477260188834338
-102.807902,200,35.416622,0.0,0.6296397488143818
-6.390024,24,35.430619,1.0,0.0480041889726763
-89.983576,200,35.547199,0.0,0.36141084347760594
-163.690859,200,35.662718,0.0,0.8417798761993842
-89.600068,200,35.777272,0.0,0.4500983697767227
-110.728927,200,35.891798,0.0,0.46931482968583516
-102.492898,200,36.006841,0.0,0.7242209582631465
-140.54144,200,36.12192,0.0,0.824796490971316
-104.562158,200,36.550869,0.0,0.7005350416823134
-27.799245,64,36.609097,1.0,0.04852628687414691
-65.794892,200,36.764578,0.0,0.2624089957678326
-93.762802,200,36.892141,0.0,0.3491282056448482
-101.870806,200,37.020241,0.0,0.5919589815965995
-73.582974,200,37.144708,0.0,0.1444758864507743
-105.165101,200,37.259778,0.0,0.5163535939863256
-110.752571,200,37.377431,0.0,0.6425090449922173
-88.90317,200,37.490915,0.0,0.39128512072666055
-102.5305,200,37.604466,0.0,0.4815234356566982
-161.178397,200,37.717505,0.0,0.9240890878513912
-79.714024,200,38.101549,0.0,0.3616866332711511
-33.614761,69,38.144143,1.0,0.038237443769484125
-83.041602,200,38.270655,0.0,0.42693290893411634
-71.911021,200,38.391174,0.0,0.3010212559863104
-120.016919,200,38.507201,0.0,0.8239252459973713
-98.372267,200,38.624328,0.0,0.5630235777887898
-126.819416,200,38.7428,0.0,0.716976357524466
-104.100231,200,38.859327,0.0,0.4775935846179527
-86.252397,200,38.975446,0.0,0.25757082487847455
-40.816627,66,39.014958,1.0,0.04866113417047958
-9.266544,35,39.035982,1.0,0.04551017943141921
-81.211638,200,39.149501,0.0,0.39342736094565667
-89.380604,200,39.264026,0.0,0.39817088749279317
-123.024187,200,39.724968,0.0,0.8170480997700256
-96.987805,200,39.859495,0.0,0.41676323711418234
-169.665533,200,39.983339,0.0,0.9047380422859277
-125.248631,200,40.101962,0.0,0.7423600357129789
-137.430431,200,40.219629,0.0,0.7834020012853244
-98.916382,200,40.336171,0.0,0.45327151642081376
-38.645591,61,40.371156,1.0,0.04713070642227759
-74.391866,200,40.485413,0.0,0.2477894280336371
-122.705471,200,40.597906,0.0,0.7986661137666066
-95.654425,200,40.712001,0.0,0.46405154850272734
-141.977168,200,40.82656,0.0,0.8217803610185218
-33.8097,53,41.171031,1.0,0.04071458990434152
-85.019039,200,41.303549,0.0,0.3116601179285808
-87.097922,200,41.42861,0.0,0.496666541005004
-130.459003,200,41.547142,0.0,0.6631621415370166
-89.125574,200,41.663573,0.0,0.2868459530782643
-79.51919,200,41.781134,0.0,0.30216559431193907
-94.58355,200,41.895689,0.0,0.46220517604119743
-151.033452,200,42.008748,0.0,0.7741771079251186
-145.34209,200,42.127309,0.0,0.8381284555715341
-98.29222,200,42.251103,0.0,0.535570363511578
-79.722875,200,42.376609,0.0,0.3497308116159311
-122.929614,200,42.870534,0.0,0.670079432859633
-25.438387,29,42.889512,1.0,0.037545353471971125
-124.182268,200,43.015145,0.0,0.8458382841114375
-115.01762,200,43.129637,0.0,0.5119559190886327
-106.291791,200,43.242763,0.0,0.5718172011316697
-95.441259,200,43.357828,0.0,0.46630309747312515
-71.475129,200,43.472364,0.0,0.20927688492298852
-106.31752,200,43.587896,0.0,0.5489350828654279
-101.038691,200,43.704471,0.0,0.6235273217780036
-101.190497,200,43.819514,0.0,0.4680133793256958
-150.940351,200,43.933048,0.0,0.8789022836346304
-98.127806,200,44.356378,0.0,0.44600973131335714
-104.729032,200,44.480395,0.0,0.43710248439553556
-126.655055,200,44.600938,0.0,0.7341893928288767
-33.605486,50,44.630455,1.0,0.046575629622350706
-78.003873,200,44.745949,0.0,0.335806599134532
-67.119514,200,44.860469,0.0,0.22074357772822464
-52.059314,98,44.916035,1.0,0.0444974369443865
-90.684443,200,45.035702,0.0,0.3380660112552048
-36.744922,55,45.069703,1.0,0.03211520501075259
