mode,success_rate_mean,final_distance_mean,final_distance_std,length_mean,length_std,return_mean,return_std,tau_effort_mean,tau_effort_std,energy_mean,energy_std,n_episodes
RL puro (baseline),0.101,0.2947592660550833,0.14542023490823117,189.982,33.122662736965864,-75.87397161826678,35.81919082671422,0.35411367978820363,0.1720558187133698,0.40210015728987214,0.09133079832780548,1000
PIRL (PI-reward),0.098,0.32503744601711715,0.1616680215643673,190.856,31.750769681621506,-78.66845574722439,35.270356797449864,0.3539071784314998,0.1590470473974118,0.4009639854726228,0.08977304901013226,1000
