exp_id,d0_bin,control,use_pi_reward,pi_metric,alpha_pi,safety_filter,n_train_seeds,success_rate__mean,success_rate__std,success_rate__ci95,mean_final_distance__mean,mean_final_distance__std,mean_final_distance__ci95,mean_tau_l1__mean,mean_tau_l1__std,mean_tau_l1__ci95,mean_pi_value__mean,mean_pi_value__std,mean_pi_value__ci95,mean_filter_intervention_rate__mean,mean_filter_intervention_rate__std,mean_filter_intervention_rate__ci95,mean_filter_delta_tau_norm__mean,mean_filter_delta_tau_norm__std,mean_filter_delta_tau_norm__ci95,mean_return__mean,mean_return__std,mean_return__ci95,mean_ep_len__mean,mean_ep_len__std,mean_ep_len__ci95,mean_d0__mean,mean_d0__std,mean_d0__ci95,episodes_in_bin__mean_per_seed,episodes_in_bin__total,config_id
ctrl-direct__pi-1-tau_l1-a0.0005__sf-proj_box_jointlimit-dt2-qm0.15__tau20-lama0.001__a2-m0.02-md0.07-phi-1.5708_1.5708__h200,"[0.924,1.367]",direct,1,tau_l1,0.0005,proj_box_jointlimit,5,0.17352941176470588,0.09886903714100947,0.08666253206356146,0.5250121765015278,0.10327095431920864,0.0905209825919382,1.1770190658024589,0.34394694238638135,0.30148278758102776,1.1770190658024589,0.34394694238638135,0.30148278758102776,0.23052682972137375,0.22200106334965994,0.1945925117410141,0.2870612264794226,0.44907523947960326,0.3936318028954489,-114.90804816609939,27.755929710149445,24.32914507935527,181.31764705882352,11.516868364291367,10.094980215785144,1.0991447869486801,0.0,0.0,68.0,340.0,ctrl-direct__pi-1-tau_l1-a0.0005__sf-proj_box_jointlimit-dt2-qm0.15__tau20-lama0.001__a2-m0.02-md0.07-phi-1.5708_1.5708__h200 | control=direct | use_pi_reward=1 | pi_metric=tau_l1 | alpha_pi=0.0005 | safety_filter=proj_box_jointlimit
ctrl-residual__pi-0-tau_l1-a0.0005__sf-none-dt2-qm0.15__pd-kp10-kd1-elauto__tau20-lama0.001__a2-m0.02-md0.07-phi-1.5708_1.5708__h200,"[0.087,0.642)",residual,0,tau_l1,0.0,none,5,0.8818181818181818,0.06893523130955953,0.060424394395116,0.05785710967502729,0.006921537940247484,0.006066995502549003,2.1720838128322226,0.18404561726357985,0.16132309637561115,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.630469191428658,1.45938576893839,1.27920802761888,50.47878787878788,11.367436738252097,9.963997620450787,0.453725230563739,6.206335383118183e-17,5.4400928206632663e-17,66.0,330.0,ctrl-residual__pi-0-tau_l1-a0.0005__sf-none-dt2-qm0.15__pd-kp10-kd1-elauto__tau20-lama0.001__a2-m0.02-md0.07-phi-1.5708_1.5708__h200 | control=residual | use_pi_reward=0 | pi_metric=tau_l1 | alpha_pi=0.0 | safety_filter=none
ctrl-residual__pi-0-tau_l1-a0.0005__sf-none-dt2-qm0.15__pd-kp10-kd1-elauto__tau20-lama0.001__a2-m0.02-md0.07-phi-1.5708_1.5708__h200,"[0.642,0.924)",residual,0,tau_l1,0.0,none,5,0.9757575757575758,0.02297841043651983,0.020141464798371988,0.04750011176552625,0.003790320223962319,0.003322362161490613,2.7669858974736528,0.268350657766183,0.23521972252821105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-14.197785573280678,0.7787519181732913,0.6826061528443825,40.36060606060606,3.8416994584570623,3.367398046187775,0.7906963271951564,0.0,0.0,66.0,330.0,ctrl-residual__pi-0-tau_l1-a0.0005__sf-none-dt2-qm0.15__pd-kp10-kd1-elauto__tau20-lama0.001__a2-m0.02-md0.07-phi-1.5708_1.5708__h200 | control=residual | use_pi_reward=0 | pi_metric=tau_l1 | alpha_pi=0.0 | safety_filter=none
ctrl-residual__pi-0-tau_l1-a0.0005__sf-none-dt2-qm0.15__pd-kp10-kd1-elauto__tau20-lama0.001__a2-m0.02-md0.07-phi-1.5708_1.5708__h200,"[0.924,1.367]",residual,0,tau_l1,0.0,none,5,0.9970588235294118,0.006576670522058182,0.005764705882352921,0.039564788950475265,0.0012175566515428015,0.0010672354602082375,4.212833903651892,0.32937625092997125,0.28871101340335004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-17.32562896172437,0.6136897862716642,0.5379228150466971,32.891176470588235,1.2679762777080847,1.111430211118472,1.0991447869486801,0.0,0.0,68.0,340.0,ctrl-residual__pi-0-tau_l1-a0.0005__sf-none-dt2-qm0.15__pd-kp10-kd1-elauto__tau20-lama0.001__a2-m0.02-md0.07-phi-1.5708_1.5708__h200 | control=residual | use_pi_reward=0 | pi_metric=tau_l1 | alpha_pi=0.0 | safety_filter=none
ctrl-residual__pi-0-tau_l1-a0.0005__sf-proj_box_jointlimit-dt2-qm0.15__pd-kp10-kd1-elauto__tau20-lama0.001__a2-m0.02-md0.07-phi-1.5708_1.5708__h200,"[0.087,0.642)",residual,0,tau_l1,0.0,proj_box_jointlimit,5,0.884848484848485,0.09970111440219455,0.0873918799404298,0.057956139901605794,0.012494917913796028,0.010952278444782887,1.7812976513435121,0.17144678142856945,0.15027972985674928,0.0,0.0,0.0,0.27127077430480767,0.0317207691254422,0.027804480056721603,1.482823546266236,0.2295740197543507,0.20123050070313422,-10.142986142076094,2.517162301574493,2.2063900385543933,51.68787878787879,16.42943630836032,14.40103587565877,0.453725230563739,6.206335383118183e-17,5.4400928206632663e-17,66.0,330.0,ctrl-residual__pi-0-tau_l1-a0.0005__sf-proj_box_jointlimit-dt2-qm0.15__pd-kp10-kd1-elauto__tau20-lama0.001__a2-m0.02-md0.07-phi-1.5708_1.5708__h200 | control=residual | use_pi_reward=0 | pi_metric=tau_l1 | alpha_pi=0.0 | safety_filter=proj_box_jointlimit
ctrl-residual__pi-0-tau_l1-a0.0005__sf-proj_box_jointlimit-dt2-qm0.15__pd-kp10-kd1-elauto__tau20-lama0.001__a2-m0.02-md0.07-phi-1.5708_1.5708__h200,"[0.642,0.924)",residual,0,tau_l1,0.0,proj_box_jointlimit,5,0.9575757575757576,0.05809178640206307,0.050919695865129094,0.051637753756975636,0.009421063102340798,0.00825792590672244,2.639526533197743,0.31194783909645496,0.27343433687230523,0.0,0.0,0.0,0.36246034907964914,0.05720289612765474,0.05014054918650783,3.145070162885898,0.5915165938237482,0.518487154934741,-15.367746402255293,2.261149451851281,1.981984881597334,44.557575757575755,11.18380638479249,9.803038518848133,0.7906963271951564,0.0,0.0,66.0,330.0,ctrl-residual__pi-0-tau_l1-a0.0005__sf-proj_box_jointlimit-dt2-qm0.15__pd-kp10-kd1-elauto__tau20-lama0.001__a2-m0.02-md0.07-phi-1.5708_1.5708__h200 | control=residual | use_pi_reward=0 | pi_metric=tau_l1 | alpha_pi=0.0 | safety_filter=proj_box_jointlimit
ctrl-residual__pi-0-tau_l1-a0.0005__sf-proj_box_jointlimit-dt2-qm0.15__pd-kp10-kd1-elauto__tau20-lama0.001__a2-m0.02-md0.07-phi-1.5708_1.5708__h200,"[0.924,1.367]",residual,0,tau_l1,0.0,proj_box_jointlimit,5,0.973529411764706,0.026306682088232815,0.02305882352941176,0.051955398401139184,0.013749609586955938,0.012052064186602382,3.635817101525057,0.16969783627787446,0.14874671184036722,0.0,0.0,0.0,0.3451591795128055,0.026390933765071407,0.023132673380250497,2.696430398876978,0.23972310702755437,0.21012656793169907,-21.238098950407146,2.012512127184668,1.764044657395627,39.69705882352942,4.85152162838904,4.25254620491224,1.0991447869486801,0.0,0.0,68.0,340.0,ctrl-residual__pi-0-tau_l1-a0.0005__sf-proj_box_jointlimit-dt2-qm0.15__pd-kp10-kd1-elauto__tau20-lama0.001__a2-m0.02-md0.07-phi-1.5708_1.5708__h200 | control=residual | use_pi_reward=0 | pi_metric=tau_l1 | alpha_pi=0.0 | safety_filter=proj_box_jointlimit
ctrl-residual__pi-1-tau_l1-a0.0005__sf-none-dt2-qm0.15__pd-kp10-kd1-elauto__tau20-lama0.001__a2-m0.02-md0.07-phi-1.5708_1.5708__h200,"[0.087,0.642)",residual,1,tau_l1,0.0005,none,5,0.8878787878787879,0.0746894396597954,0.06546818039802313,0.056239418754029866,0.006569108907829731,0.005758077835246618,2.177209163363167,0.13187769736719235,0.11559589844344134,2.177209163363167,0.13187769736719235,0.11559589844344134,0.0,0.0,0.0,0.0,0.0,0.0,-9.360437916287978,1.4054662888773353,1.2319455195095186,49.35454545454545,12.341239741091954,10.817573587179776,0.453725230563739,6.206335383118183e-17,5.4400928206632663e-17,66.0,330.0,ctrl-residual__pi-1-tau_l1-a0.0005__sf-none-dt2-qm0.15__pd-kp10-kd1-elauto__tau20-lama0.001__a2-m0.02-md0.07-phi-1.5708_1.5708__h200 | control=residual | use_pi_reward=1 | pi_metric=tau_l1 | alpha_pi=0.0005 | safety_filter=none
ctrl-residual__pi-1-tau_l1-a0.0005__sf-none-dt2-qm0.15__pd-kp10-kd1-elauto__tau20-lama0.001__a2-m0.02-md0.07-phi-1.5708_1.5708__h200,"[0.642,0.924)",residual,1,tau_l1,0.0005,none,5,0.9878787878787879,0.012676667068698104,0.011111588603146845,0.045163489978747307,0.0021690091300918747,0.0019012203286116213,2.8220602597556126,0.13732457414250807,0.12037029644343229,2.8220602597556126,0.13732457414250807,0.12037029644343229,0.0,0.0,0.0,0.0,0.0,0.0,-13.679712530567874,0.5177442868558481,0.4538228767857562,37.724242424242426,2.8966630051934863,2.539037071908413,0.7906963271951564,0.0,0.0,66.0,330.0,ctrl-residual__pi-1-tau_l1-a0.0005__sf-none-dt2-qm0.15__pd-kp10-kd1-elauto__tau20-lama0.001__a2-m0.02-md0.07-phi-1.5708_1.5708__h200 | control=residual | use_pi_reward=1 | pi_metric=tau_l1 | alpha_pi=0.0005 | safety_filter=none
ctrl-residual__pi-1-tau_l1-a0.0005__sf-none-dt2-qm0.15__pd-kp10-kd1-elauto__tau20-lama0.001__a2-m0.02-md0.07-phi-1.5708_1.5708__h200,"[0.924,1.367]",residual,1,tau_l1,0.0005,none,5,0.9941176470588236,0.013153341044116413,0.011529411764705884,0.04328173639043072,0.00617425543975405,0.005411973510505262,4.258567812489377,0.1363258135427958,0.11949484417850392,4.258567812489377,0.1363258135427958,0.11949484417850392,0.0,0.0,0.0,0.0,0.0,0.0,-17.61370601767272,0.9441299842563345,0.8275664191620443,33.252941176470586,2.260509863789728,1.9814242579431076,1.0991447869486801,0.0,0.0,68.0,340.0,ctrl-residual__pi-1-tau_l1-a0.0005__sf-none-dt2-qm0.15__pd-kp10-kd1-elauto__tau20-lama0.001__a2-m0.02-md0.07-phi-1.5708_1.5708__h200 | control=residual | use_pi_reward=1 | pi_metric=tau_l1 | alpha_pi=0.0005 | safety_filter=none
ctrl-residual__pi-1-tau_l1-a0.0005__sf-proj_box_jointlimit-dt2-qm0.15__pd-kp10-kd1-elauto__tau20-lama0.001__a2-m0.02-md0.07-phi-1.5708_1.5708__h200,"[0.087,0.642)",residual,1,tau_l1,0.0005,proj_box_jointlimit,5,0.8818181818181818,0.05608107734339926,0.04915723166697551,0.057781435154079616,0.006560525263475779,0.00575055393923673,1.8457732821578943,0.12634678374704494,0.11074783890116836,1.8457732821578943,0.12634678374704494,0.11074783890116836,0.28108355284390407,0.013556929569852392,0.011883172705071835,1.5596921830403552,0.08710233352243675,0.07634856159197069,-10.087839844223119,1.3670246079072506,1.1982499004766785,51.54545454545455,9.812942859640772,8.601423659043354,0.453725230563739,6.206335383118183e-17,5.4400928206632663e-17,66.0,330.0,ctrl-residual__pi-1-tau_l1-a0.0005__sf-proj_box_jointlimit-dt2-qm0.15__pd-kp10-kd1-elauto__tau20-lama0.001__a2-m0.02-md0.07-phi-1.5708_1.5708__h200 | control=residual | use_pi_reward=1 | pi_metric=tau_l1 | alpha_pi=0.0005 | safety_filter=proj_box_jointlimit
ctrl-residual__pi-1-tau_l1-a0.0005__sf-proj_box_jointlimit-dt2-qm0.15__pd-kp10-kd1-elauto__tau20-lama0.001__a2-m0.02-md0.07-phi-1.5708_1.5708__h200,"[0.642,0.924)",residual,1,tau_l1,0.0005,proj_box_jointlimit,5,0.9969696969696968,0.006775963568181176,0.0059393939393939344,0.044433888810763156,0.0012984836949398153,0.0011381711413477264,2.8657411906800814,0.121807607496608,0.10676907549129916,2.8657411906800814,0.121807607496608,0.10676907549129916,0.40580539546956984,0.024489624579679035,0.02146610239901592,3.5767617383370762,0.3015885402218825,0.264354011051055,-13.844060426644123,0.3026759921468689,0.2653072046902558,37.18787878787879,1.6275929372890876,1.426648111410965,0.7906963271951564,0.0,0.0,66.0,330.0,ctrl-residual__pi-1-tau_l1-a0.0005__sf-proj_box_jointlimit-dt2-qm0.15__pd-kp10-kd1-elauto__tau20-lama0.001__a2-m0.02-md0.07-phi-1.5708_1.5708__h200 | control=residual | use_pi_reward=1 | pi_metric=tau_l1 | alpha_pi=0.0005 | safety_filter=proj_box_jointlimit
ctrl-residual__pi-1-tau_l1-a0.0005__sf-proj_box_jointlimit-dt2-qm0.15__pd-kp10-kd1-elauto__tau20-lama0.001__a2-m0.02-md0.07-phi-1.5708_1.5708__h200,"[0.924,1.367]",residual,1,tau_l1,0.0005,proj_box_jointlimit,5,0.9676470588235295,0.031881593218645275,0.02794544858981176,0.05468715870320262,0.015509830855146785,0.013594966155759707,3.680238149937405,0.1416306116255318,0.12414470471350796,3.680238149937405,0.1416306116255318,0.12414470471350796,0.35153140383024833,0.011533272545075258,0.01010935911421755,2.8236044551340505,0.18658257039094364,0.16354683383782948,-21.48802129799776,2.3825258766121395,2.088376008756752,40.305882352941175,5.726901853907631,5.0198508035563565,1.0991447869486801,0.0,0.0,68.0,340.0,ctrl-residual__pi-1-tau_l1-a0.0005__sf-proj_box_jointlimit-dt2-qm0.15__pd-kp10-kd1-elauto__tau20-lama0.001__a2-m0.02-md0.07-phi-1.5708_1.5708__h200 | control=residual | use_pi_reward=1 | pi_metric=tau_l1 | alpha_pi=0.0005 | safety_filter=proj_box_jointlimit
