exp_id,train_seed,eval_seed_base,episodes,source_file,success_rate,mean_final_distance,std_final_distance_ep,mean_return,std_return_ep,mean_ep_len,std_ep_len_ep,mean_d0,std_d0_ep,mean_tau_l1__mean_ep,mean_tau_l1__std_ep,mean_pi_value__mean_ep,mean_pi_value__std_ep,filter_intervention_rate__mean_ep,filter_intervention_rate__std_ep,mean_filter_delta_tau_norm__mean_ep,mean_filter_delta_tau_norm__std_ep,mean_r_dist,mean_r_act,mean_r_pi,sum_r_dist,sum_r_act,sum_r_pi,control,use_pi_reward,pi_metric,alpha_pi,safety_filter,config_id
ctrl-direct__pi-1-tau_l1-a0.0005__sf-none-dt2-qm0.15__tau20-lama0.001__a2-m0.02-md0.07-phi-1.5708_1.5708__h200,1,1000,200,eval__ctrl-direct__pi-1-tau_l1-a0.0005__sf-none-dt2-qm0.15__tau20-lama0.001__a2-m0.02-md0.07-phi-1.5708_1.5708__h200__trainseed1__evalbase1000.csv,0.445,0.3517747214191229,0.330792079138082,-73.39617944817601,43.59708198305184,145.28,70.92675534039026,0.7843683416229866,0.28918246245742785,1.1020346839558082,0.48594500913042005,1.1020346839558082,0.48594500913042005,0.0,0.0,0.0,0.0,-0.48535700774773116,-0.0008819009083440084,-0.0005510173419778533,-73.2224211047319,-0.10699036285628147,-0.06676798058784446,direct,1,tau_l1,0.0005,none,ctrl-direct__pi-1-tau_l1-a0.0005__sf-none-dt2-qm0.15__tau20-lama0.001__a2-m0.02-md0.07-phi-1.5708_1.5708__h200 | control=direct | use_pi_reward=1 | pi_metric=tau_l1 | alpha_pi=0.0005 | safety_filter=none
ctrl-direct__pi-1-tau_l1-a0.0005__sf-none-dt2-qm0.15__tau20-lama0.001__a2-m0.02-md0.07-phi-1.5708_1.5708__h200,2,1000,200,eval__ctrl-direct__pi-1-tau_l1-a0.0005__sf-none-dt2-qm0.15__tau20-lama0.001__a2-m0.02-md0.07-phi-1.5708_1.5708__h200__trainseed2__evalbase1000.csv,0.345,0.39293114999215367,0.3117755074467187,-80.74039499157237,38.55787718417937,154.74,66.00055123875175,0.7843683416229866,0.28918246245742785,1.17414629412916,0.2845036074428851,1.17414629412916,0.2845036074428851,0.0,0.0,0.0,0.0,-0.5026366250366183,-0.000933575693386832,-0.0005870731470645305,-80.51734144572409,-0.13696125741065748,-0.08609228843762537,direct,1,tau_l1,0.0005,none,ctrl-direct__pi-1-tau_l1-a0.0005__sf-none-dt2-qm0.15__tau20-lama0.001__a2-m0.02-md0.07-phi-1.5708_1.5708__h200 | control=direct | use_pi_reward=1 | pi_metric=tau_l1 | alpha_pi=0.0005 | safety_filter=none
ctrl-direct__pi-1-tau_l1-a0.0005__sf-none-dt2-qm0.15__tau20-lama0.001__a2-m0.02-md0.07-phi-1.5708_1.5708__h200,3,1000,200,eval__ctrl-direct__pi-1-tau_l1-a0.0005__sf-none-dt2-qm0.15__tau20-lama0.001__a2-m0.02-md0.07-phi-1.5708_1.5708__h200__trainseed3__evalbase1000.csv,0.55,0.283960409578236,0.3128610424703082,-63.90853557013157,39.936140964442984,129.495,69.10402889155759,0.7843683416229866,0.28918246245742785,1.8386287212698877,0.545920450554756,1.8386287212698877,0.545920450554756,0.0,0.0,0.0,0.0,-0.4656103975582782,-0.0014701190579710793,-0.000919314360634893,-63.624055124705826,-0.17528164895302167,-0.10919879647273564,direct,1,tau_l1,0.0005,none,ctrl-direct__pi-1-tau_l1-a0.0005__sf-none-dt2-qm0.15__tau20-lama0.001__a2-m0.02-md0.07-phi-1.5708_1.5708__h200 | control=direct | use_pi_reward=1 | pi_metric=tau_l1 | alpha_pi=0.0005 | safety_filter=none
ctrl-direct__pi-1-tau_l1-a0.0005__sf-none-dt2-qm0.15__tau20-lama0.001__a2-m0.02-md0.07-phi-1.5708_1.5708__h200,4,1000,200,eval__ctrl-direct__pi-1-tau_l1-a0.0005__sf-none-dt2-qm0.15__tau20-lama0.001__a2-m0.02-md0.07-phi-1.5708_1.5708__h200__trainseed4__evalbase1000.csv,0.44,0.2777102862754117,0.28110688286047447,-67.202519918373,40.024824660489685,143.24,70.50558550880702,0.7843683416229866,0.28918246245742785,1.3352943222734195,0.574007824512674,1.3352943222734195,0.574007824512674,0.0,0.0,0.0,0.0,-0.45798772140209665,-0.001013308124164081,-0.0006676471611366583,-66.99596534475026,-0.12481200004760065,-0.08174257357514458,direct,1,tau_l1,0.0005,none,ctrl-direct__pi-1-tau_l1-a0.0005__sf-none-dt2-qm0.15__tau20-lama0.001__a2-m0.02-md0.07-phi-1.5708_1.5708__h200 | control=direct | use_pi_reward=1 | pi_metric=tau_l1 | alpha_pi=0.0005 | safety_filter=none
ctrl-direct__pi-1-tau_l1-a0.0005__sf-proj_box_jointlimit-dt2-qm0.15__tau20-lama0.001__a2-m0.02-md0.07-phi-1.5708_1.5708__h200,0,1000,200,eval__ctrl-direct__pi-1-tau_l1-a0.0005__sf-proj_box_jointlimit-dt2-qm0.15__tau20-lama0.001__a2-m0.02-md0.07-phi-1.5708_1.5708__h200__trainseed0__evalbase1000.csv,0.435,0.34968445260858183,0.31702831533427156,-72.40617618059306,42.92930237758205,142.41,71.58402940832305,0.7843683416229866,0.28918246245742785,1.5920287199263503,0.6262290354414509,1.5920287199263503,0.6262290354414509,0.14217209998233263,0.16297510574656418,0.16588877914666497,0.23213518249053758,-0.4771364423940294,-0.0012730621349623561,-0.0007960143599631279,-72.14525443853562,-0.16056958171807645,-0.10035216033936123,direct,1,tau_l1,0.0005,proj_box_jointlimit,ctrl-direct__pi-1-tau_l1-a0.0005__sf-proj_box_jointlimit-dt2-qm0.15__tau20-lama0.001__a2-m0.02-md0.07-phi-1.5708_1.5708__h200 | control=direct | use_pi_reward=1 | pi_metric=tau_l1 | alpha_pi=0.0005 | safety_filter=proj_box_jointlimit
ctrl-direct__pi-1-tau_l1-a0.0005__sf-proj_box_jointlimit-dt2-qm0.15__tau20-lama0.001__a2-m0.02-md0.07-phi-1.5708_1.5708__h200,1,1000,200,eval__ctrl-direct__pi-1-tau_l1-a0.0005__sf-proj_box_jointlimit-dt2-qm0.15__tau20-lama0.001__a2-m0.02-md0.07-phi-1.5708_1.5708__h200__trainseed1__evalbase1000.csv,0.35,0.3672218307835976,0.3003766750621865,-77.12161455781198,41.573255537432,156.75,66.91040660885879,0.7843683416229866,0.28918246245742785,1.0613351969496976,0.41739490837339116,1.0613351969496976,0.41739490837339116,0.03448506553470173,0.06772145131029254,0.012552236958411966,0.024529136423291506,-0.4715036903461819,-0.0008544496297262655,-0.0005306675984747982,-76.92754717039374,-0.11995028224268518,-0.07411710517555471,direct,1,tau_l1,0.0005,proj_box_jointlimit,ctrl-direct__pi-1-tau_l1-a0.0005__sf-proj_box_jointlimit-dt2-qm0.15__tau20-lama0.001__a2-m0.02-md0.07-phi-1.5708_1.5708__h200 | control=direct | use_pi_reward=1 | pi_metric=tau_l1 | alpha_pi=0.0005 | safety_filter=proj_box_jointlimit
ctrl-direct__pi-1-tau_l1-a0.0005__sf-proj_box_jointlimit-dt2-qm0.15__tau20-lama0.001__a2-m0.02-md0.07-phi-1.5708_1.5708__h200,2,1000,200,eval__ctrl-direct__pi-1-tau_l1-a0.0005__sf-proj_box_jointlimit-dt2-qm0.15__tau20-lama0.001__a2-m0.02-md0.07-phi-1.5708_1.5708__h200__trainseed2__evalbase1000.csv,0.41,0.3781537155638718,0.3208865066092299,-80.57405612763496,51.94089789825643,141.335,73.95477889635016,0.7843683416229866,0.28918246245742785,1.4351951393020135,0.7263311207309827,1.4351951393020135,0.7263311207309827,0.19228045256773163,0.17711886753993125,0.16868294774455875,0.24461960731719964,-0.5235499041401482,-0.00113513498720011,-0.0007175975696509603,-80.36583507591183,-0.1285917455115776,-0.07962930621155534,direct,1,tau_l1,0.0005,proj_box_jointlimit,ctrl-direct__pi-1-tau_l1-a0.0005__sf-proj_box_jointlimit-dt2-qm0.15__tau20-lama0.001__a2-m0.02-md0.07-phi-1.5708_1.5708__h200 | control=direct | use_pi_reward=1 | pi_metric=tau_l1 | alpha_pi=0.0005 | safety_filter=proj_box_jointlimit
ctrl-direct__pi-1-tau_l1-a0.0005__sf-proj_box_jointlimit-dt2-qm0.15__tau20-lama0.001__a2-m0.02-md0.07-phi-1.5708_1.5708__h200,3,1000,200,eval__ctrl-direct__pi-1-tau_l1-a0.0005__sf-proj_box_jointlimit-dt2-qm0.15__tau20-lama0.001__a2-m0.02-md0.07-phi-1.5708_1.5708__h200__trainseed3__evalbase1000.csv,0.35,0.38480280090600516,0.32468906887104665,-81.27670746332775,41.752777809802836,160.36,63.85513126558212,0.7843683416229866,0.28918246245742785,0.7574133068247044,0.27224469994084066,0.7574133068247044,0.27224469994084066,0.050582011667341095,0.07794392846362012,0.027506933576068628,0.04755865605934919,-0.48907609278596603,-0.000600310165541089,-0.0003787066534123015,-81.12897848358418,-0.09027583929176247,-0.0574531404517963,direct,1,tau_l1,0.0005,proj_box_jointlimit,ctrl-direct__pi-1-tau_l1-a0.0005__sf-proj_box_jointlimit-dt2-qm0.15__tau20-lama0.001__a2-m0.02-md0.07-phi-1.5708_1.5708__h200 | control=direct | use_pi_reward=1 | pi_metric=tau_l1 | alpha_pi=0.0005 | safety_filter=proj_box_jointlimit
ctrl-direct__pi-1-tau_l1-a0.0005__sf-proj_box_jointlimit-dt2-qm0.15__tau20-lama0.001__a2-m0.02-md0.07-phi-1.5708_1.5708__h200,4,1000,200,eval__ctrl-direct__pi-1-tau_l1-a0.0005__sf-proj_box_jointlimit-dt2-qm0.15__tau20-lama0.001__a2-m0.02-md0.07-phi-1.5708_1.5708__h200__trainseed4__evalbase1000.csv,0.08,0.6109158636696936,0.281344505172652,-130.89208060559523,57.98070098648153,186.01,47.636393966701064,0.7843683416229866,0.28918246245742785,0.8601107983034946,0.2178866031710446,0.8601107983034946,0.2178866031710446,0.6304638888888888,0.277047912028927,0.8718305804145119,0.5153072360257569,-0.6795037755067759,-0.0007562918130315725,-0.0004300553991516995,-130.67448833069997,-0.13946218225555518,-0.0781300926397135,direct,1,tau_l1,0.0005,proj_box_jointlimit,ctrl-direct__pi-1-tau_l1-a0.0005__sf-proj_box_jointlimit-dt2-qm0.15__tau20-lama0.001__a2-m0.02-md0.07-phi-1.5708_1.5708__h200 | control=direct | use_pi_reward=1 | pi_metric=tau_l1 | alpha_pi=0.0005 | safety_filter=proj_box_jointlimit
ctrl-residual__pi-0-tau_l1-a0.0005__sf-none-dt2-qm0.15__pd-kp10-kd1-elauto__tau20-lama0.001__a2-m0.02-md0.07-phi-1.5708_1.5708__h200,0,1000,200,eval__ctrl-residual__pi-0-tau_l1-a0.0005__sf-none-dt2-qm0.15__pd-kp10-kd1-elauto__tau20-lama0.001__a2-m0.02-md0.07-phi-1.5708_1.5708__h200__trainseed0__evalbase1000.csv,0.945,0.04965322732392402,0.028736804580887468,-13.466568315094191,6.868264291865062,40.885,39.429878921432085,0.7843683416229866,0.28918246245742785,3.238810851171219,1.4148551232596878,0.0,0.0,0.0,0.0,0.0,0.0,-0.374254035105598,-0.0027162523824942365,0.0,-13.378774290997466,-0.08779402409672425,0.0,residual,0,tau_l1,0.0,none,ctrl-residual__pi-0-tau_l1-a0.0005__sf-none-dt2-qm0.15__pd-kp10-kd1-elauto__tau20-lama0.001__a2-m0.02-md0.07-phi-1.5708_1.5708__h200 | control=residual | use_pi_reward=0 | pi_metric=tau_l1 | alpha_pi=0.0 | safety_filter=none
