exp_id,control,use_pi_reward,pi_metric,alpha_pi,safety_filter,n_train_seeds,success_rate__mean,success_rate__std,success_rate__ci95,mean_final_distance__mean,mean_final_distance__std,mean_final_distance__ci95,mean_return__mean,mean_return__std,mean_return__ci95,mean_ep_len__mean,mean_ep_len__std,mean_ep_len__ci95,mean_d0__mean,mean_d0__std,mean_d0__ci95,mean_r_dist__mean,mean_r_dist__std,mean_r_dist__ci95,mean_r_act__mean,mean_r_act__std,mean_r_act__ci95,mean_r_pi__mean,mean_r_pi__std,mean_r_pi__ci95,sum_r_dist__mean,sum_r_dist__std,sum_r_dist__ci95,sum_r_act__mean,sum_r_act__std,sum_r_act__ci95,sum_r_pi__mean,sum_r_pi__std,sum_r_pi__ci95,mean_tau_l1__mean_ep__mean,mean_tau_l1__mean_ep__std,mean_tau_l1__mean_ep__ci95,mean_pi_value__mean_ep__mean,mean_pi_value__mean_ep__std,mean_pi_value__mean_ep__ci95,filter_intervention_rate__mean_ep__mean,filter_intervention_rate__mean_ep__std,filter_intervention_rate__mean_ep__ci95,mean_filter_delta_tau_norm__mean_ep__mean,mean_filter_delta_tau_norm__mean_ep__std,mean_filter_delta_tau_norm__mean_ep__ci95,config_id
ctrl-residual__pi-1-tau_l1-a0.0005__sf-none-dt2-qm0.15__pd-kp10-kd1-elauto__tau20-lama0.001__a2-m0.02-md0.07-phi-1.5708_1.5708__h200,residual,1,tau_l1,0.0005,none,5,0.9570000000000001,0.02949576240750524,0.02585417567821491,0.048178750254562905,0.0036716157323884438,0.0032183130870322685,-13.591909693471157,0.6058581447660979,0.5310580785962101,40.042,4.767998269714452,4.179334753091693,0.7843683416229866,0.0,0.0,-0.37376160857519974,0.0036529300739164892,0.0032019343852335955,-0.0025934970748659383,9.34872262534641e-05,8.194516682881429e-05,-0.001548835982937744,5.56267375196968e-05,4.87589852525474e-05,-13.455285918266796,0.6042008668593194,0.5296054104618012,-0.08556870756857696,0.001975552556332591,0.001731648165160597,-0.051055067635784226,0.0011423342111783774,0.0010013000840936332,3.0976719658755854,0.1112534750393927,0.097517970505094,3.0976719658755854,0.1112534750393927,0.097517970505094,0.0,0.0,0.0,0.0,0.0,0.0,ctrl-residual__pi-1-tau_l1-a0.0005__sf-none-dt2-qm0.15__pd-kp10-kd1-elauto__tau20-lama0.001__a2-m0.02-md0.07-phi-1.5708_1.5708__h200 | control=residual | use_pi_reward=1 | pi_metric=tau_l1 | alpha_pi=0.0005 | safety_filter=none
ctrl-residual__pi-0-tau_l1-a0.0005__sf-none-dt2-qm0.15__pd-kp10-kd1-elauto__tau20-lama0.001__a2-m0.02-md0.07-phi-1.5708_1.5708__h200,residual,0,tau_l1,0.0,none,5,0.952,0.02970690155502589,0.02603924730094938,0.048219911318544265,0.0031692764218860525,0.00277799326737921,-13.754037919340366,0.694773845600224,0.6089961267184092,41.160000000000004,4.5186530072578055,3.960773994057223,0.7843683416229866,0.0,0.0,-0.37432038295401326,0.001328942204759575,0.0011648692023402548,-0.00257007202522643,0.00021566095761594477,0.00018903516403820576,0.0,0.0,0.0,-13.668747662996974,0.6956410513201006,0.6097562660469366,-0.08529025634339168,0.004474086411288019,0.0039217096503164515,0.0,0.0,0.0,3.0622565316425825,0.2510579773088528,0.22006201979402826,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ctrl-residual__pi-0-tau_l1-a0.0005__sf-none-dt2-qm0.15__pd-kp10-kd1-elauto__tau20-lama0.001__a2-m0.02-md0.07-phi-1.5708_1.5708__h200 | control=residual | use_pi_reward=0 | pi_metric=tau_l1 | alpha_pi=0.0 | safety_filter=none
ctrl-residual__pi-1-tau_l1-a0.0005__sf-proj_box_jointlimit-dt2-qm0.15__pd-kp10-kd1-elauto__tau20-lama0.001__a2-m0.02-md0.07-phi-1.5708_1.5708__h200,residual,1,tau_l1,0.0005,proj_box_jointlimit,5,0.9490000000000001,0.02859195691099157,0.025061955230987042,0.05232469086748701,0.006978794295565621,0.006117182910782015,-15.203454330705426,1.181591066041594,1.0357102345479754,42.986,5.217423214576331,4.573273086269833,0.7843683416229866,0.0,0.0,-0.3804644982098249,0.007624477208149858,0.00668314893748579,-0.0022713836811187422,8.6734917967694e-05,7.602650765866362e-05,-0.0014030403735075744,5.288660585046823e-05,4.635715394610694e-05,-15.068272893473448,1.1786094686382111,1.033096749193579,-0.08363243143767093,0.0027891596818210825,0.002444806254272221,-0.051549005794309065,0.0017293608444823774,0.001515851615108503,2.80608074701525,0.10577321170093669,0.09271430789221408,2.80608074701525,0.10577321170093669,0.09271430789221408,0.3461940302457308,0.011168096462216476,0.009789268164566052,2.65505530880013,0.16115191883187377,0.14125588492333851,ctrl-residual__pi-1-tau_l1-a0.0005__sf-proj_box_jointlimit-dt2-qm0.15__pd-kp10-kd1-elauto__tau20-lama0.001__a2-m0.02-md0.07-phi-1.5708_1.5708__h200 | control=residual | use_pi_reward=1 | pi_metric=tau_l1 | alpha_pi=0.0005 | safety_filter=proj_box_jointlimit
ctrl-residual__pi-0-tau_l1-a0.0005__sf-proj_box_jointlimit-dt2-qm0.15__pd-kp10-kd1-elauto__tau20-lama0.001__a2-m0.02-md0.07-phi-1.5708_1.5708__h200,residual,0,tau_l1,0.0,proj_box_jointlimit,5,0.9389999999999998,0.03110466202999156,0.027264438376757346,0.0538308203637192,0.004532911770181045,0.003973272350820419,-15.639495382767786,0.8471759686247655,0.7425824774616883,45.258,5.410183222405689,4.7422346827629696,0.7843683416229866,0.0,0.0,-0.3798724221159703,0.005811981063428443,0.005094426018772865,-0.002189044679108332,0.0001261119580952436,0.00011054200514201526,0.0,0.0,0.0,-15.557563294700419,0.848073496342595,0.7433691951932809,-0.08193208806736865,0.00230685709547562,0.002022049397705594,0.0,0.0,0.0,2.695049795417133,0.17169448839872725,0.15049685458926843,0.0,0.0,0.0,0.32648539175122465,0.03177135092242419,0.027848816956620125,2.4439912596383766,0.3195496660974338,0.28009763202783894,ctrl-residual__pi-0-tau_l1-a0.0005__sf-proj_box_jointlimit-dt2-qm0.15__pd-kp10-kd1-elauto__tau20-lama0.001__a2-m0.02-md0.07-phi-1.5708_1.5708__h200 | control=residual | use_pi_reward=0 | pi_metric=tau_l1 | alpha_pi=0.0 | safety_filter=proj_box_jointlimit
ctrl-direct__pi-0-tau_l1-a0.0005__sf-none-dt2-qm0.15__tau20-lama0.001__a2-m0.02-md0.07-phi-1.5708_1.5708__h200,direct,0,tau_l1,0.0,none,5,0.42300000000000004,0.12877305618800852,0.1128745604642605,0.36428208639563203,0.0959448087938604,0.08409933290410625,-77.36775842088895,14.182132164257304,12.431186941384892,150.083,12.225376579067003,10.71601504788044,0.7843683416229866,0.0,0.0,-0.48786900038636033,0.04504276598253976,0.03948172515957701,-0.0009966376755066533,0.0003050737875639445,0.0002674089650413535,0.0,0.0,0.0,-77.23109946915295,14.208491665114156,12.454292062606296,-0.1366589517359839,0.03425017173709406,0.03002159920011227,0.0,0.0,0.0,1.2473704320635077,0.4060000785678948,0.3558747596228427,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ctrl-direct__pi-0-tau_l1-a0.0005__sf-none-dt2-qm0.15__tau20-lama0.001__a2-m0.02-md0.07-phi-1.5708_1.5708__h200 | control=direct | use_pi_reward=0 | pi_metric=tau_l1 | alpha_pi=0.0 | safety_filter=none
ctrl-direct__pi-1-tau_l1-a0.0005__sf-none-dt2-qm0.15__tau20-lama0.001__a2-m0.02-md0.07-phi-1.5708_1.5708__h200,direct,1,tau_l1,0.0005,none,5,0.37,0.18272246714621604,0.16016330416172112,0.377382906358145,0.12332061747111282,0.10809528720752133,-81.67418835512436,24.044099307339653,21.07558227951509,152.43,22.546286556770276,19.762691517402178,0.7843683416229866,0.0,0.0,-0.509115365532854,0.0719471966930435,0.06306449845770778,-0.0012402539074037803,0.0004373793751266381,0.000383379925777901,-0.000760688446952387,0.00022850466356314075,0.00020029316867393757,-81.3847720117697,23.903934782166452,20.952722656237157,-0.18045813811886668,0.10249524309224847,0.08984104172245626,-0.10895820523579391,0.05365014476693785,0.04702642531501843,1.5213768939048748,0.45700932712628045,0.40058633734787424,1.5213768939048748,0.45700932712628045,0.40058633734787424,0.0,0.0,0.0,0.0,0.0,0.0,ctrl-direct__pi-1-tau_l1-a0.0005__sf-none-dt2-qm0.15__tau20-lama0.001__a2-m0.02-md0.07-phi-1.5708_1.5708__h200 | control=direct | use_pi_reward=1 | pi_metric=tau_l1 | alpha_pi=0.0005 | safety_filter=none
ctrl-direct__pi-1-tau_l1-a0.0005__sf-proj_box_jointlimit-dt2-qm0.15__tau20-lama0.001__a2-m0.02-md0.07-phi-1.5708_1.5708__h200,direct,1,tau_l1,0.0005,proj_box_jointlimit,5,0.325,0.1419506956657839,0.12442527074513439,0.41815573270635,0.10857212589732061,0.0951676643554851,-88.45412698699258,23.982041917568253,21.02118657903735,157.373,18.100392813417056,15.865693830097687,0.7843683416229866,0.0,0.0,-0.5281539810346203,0.08698718848890481,0.07624763252004911,-0.0009238497460922788,0.00027575380455977964,0.0002417088668035446,-0.0005706083161305775,0.00018068643889269196,0.00015837864671075706,-88.24842069982508,23.98054924994629,21.019878198179303,-0.12776992620393138,0.025885106844746025,0.022689296535801304,-0.07793636096359621,0.01532580091332077,0.013433656799510932,1.141216632261252,0.3613728777853812,0.31675729342151165,1.141216632261252,0.3613728777853812,0.31675729342151165,0.2099967037281992,0.2438873076912991,0.21377665074808358,0.24929229556804328,0.3557536126843846,0.3118317903917388,ctrl-direct__pi-1-tau_l1-a0.0005__sf-proj_box_jointlimit-dt2-qm0.15__tau20-lama0.001__a2-m0.02-md0.07-phi-1.5708_1.5708__h200 | control=direct | use_pi_reward=1 | pi_metric=tau_l1 | alpha_pi=0.0005 | safety_filter=proj_box_jointlimit
ctrl-direct__pi-0-tau_l1-a0.0005__sf-proj_box_jointlimit-dt2-qm0.15__tau20-lama0.001__a2-m0.02-md0.07-phi-1.5708_1.5708__h200,direct,0,tau_l1,0.0,proj_box_jointlimit,5,0.30500000000000005,0.13148193792304705,0.11524899999566154,0.39965123054842905,0.15370096962167654,0.13472483998242593,-87.68506131321391,19.40156930931791,17.006225315556925,162.347,13.551680984291208,11.87857211698443,0.7843683416229866,0.0,0.0,-0.5179347553731277,0.07267631987947892,0.0637036031091734,-0.0008296005781086252,0.00017454259559554594,0.00015299333061859126,0.0,0.0,0.0,-87.56248088515039,19.408821058680054,17.01258175413251,-0.12258042806350852,0.02090764070462249,0.018326355098953574,0.0,0.0,0.0,1.0034111899285527,0.2662346919899317,0.23336499674921674,0.0,0.0,0.0,0.20820797402172522,0.29407846761173106,0.25777114216513,0.34129997493323294,0.5898680699609011,0.5170421600581572,ctrl-direct__pi-0-tau_l1-a0.0005__sf-proj_box_jointlimit-dt2-qm0.15__tau20-lama0.001__a2-m0.02-md0.07-phi-1.5708_1.5708__h200 | control=direct | use_pi_reward=0 | pi_metric=tau_l1 | alpha_pi=0.0 | safety_filter=proj_box_jointlimit
