exp_id,train_seed,eval_seed_base,d0_bin,success_rate,mean_final_distance,mean_return,mean_ep_len,mean_tau_l1,mean_pi_value,mean_filter_intervention_rate,mean_filter_delta_tau_norm,mean_d0,episodes_in_bin,control,use_pi_reward,pi_metric,alpha_pi,safety_filter,config_id
ctrl-direct__pi-0-tau_l1-a0.0005__sf-none-dt2-qm0.15__tau20-lama0.001__a2-m0.02-md0.07-phi-1.5708_1.5708__h200,1,1000,"[0.924,1.367]",0.39705882352941174,0.41514437808603993,-91.90381164028256,164.16176470588235,1.7057864427957041,0.0,0.0,0.0,1.0991447869486801,68,direct,0,tau_l1,0.0,none,ctrl-direct__pi-0-tau_l1-a0.0005__sf-none-dt2-qm0.15__tau20-lama0.001__a2-m0.02-md0.07-phi-1.5708_1.5708__h200 | control=direct | use_pi_reward=0 | pi_metric=tau_l1 | alpha_pi=0.0 | safety_filter=none
ctrl-direct__pi-0-tau_l1-a0.0005__sf-none-dt2-qm0.15__tau20-lama0.001__a2-m0.02-md0.07-phi-1.5708_1.5708__h200,2,1000,"[0.924,1.367]",0.5588235294117647,0.30195056475998855,-83.0265251550015,148.7941176470588,1.6558991911901593,0.0,0.0,0.0,1.0991447869486801,68,direct,0,tau_l1,0.0,none,ctrl-direct__pi-0-tau_l1-a0.0005__sf-none-dt2-qm0.15__tau20-lama0.001__a2-m0.02-md0.07-phi-1.5708_1.5708__h200 | control=direct | use_pi_reward=0 | pi_metric=tau_l1 | alpha_pi=0.0 | safety_filter=none
ctrl-direct__pi-0-tau_l1-a0.0005__sf-none-dt2-qm0.15__tau20-lama0.001__a2-m0.02-md0.07-phi-1.5708_1.5708__h200,3,1000,"[0.924,1.367]",0.27941176470588236,0.44193585116065126,-93.03144945759979,172.7941176470588,1.2974652723494173,0.0,0.0,0.0,1.0991447869486801,68,direct,0,tau_l1,0.0,none,ctrl-direct__pi-0-tau_l1-a0.0005__sf-none-dt2-qm0.15__tau20-lama0.001__a2-m0.02-md0.07-phi-1.5708_1.5708__h200 | control=direct | use_pi_reward=0 | pi_metric=tau_l1 | alpha_pi=0.0 | safety_filter=none
ctrl-direct__pi-0-tau_l1-a0.0005__sf-none-dt2-qm0.15__tau20-lama0.001__a2-m0.02-md0.07-phi-1.5708_1.5708__h200,4,1000,"[0.924,1.367]",0.04411764705882353,0.7132641929920233,-139.1949919548874,196.27941176470588,0.8530941062005494,0.0,0.0,0.0,1.0991447869486801,68,direct,0,tau_l1,0.0,none,ctrl-direct__pi-0-tau_l1-a0.0005__sf-none-dt2-qm0.15__tau20-lama0.001__a2-m0.02-md0.07-phi-1.5708_1.5708__h200 | control=direct | use_pi_reward=0 | pi_metric=tau_l1 | alpha_pi=0.0 | safety_filter=none
ctrl-direct__pi-0-tau_l1-a0.0005__sf-proj_box_jointlimit-dt2-qm0.15__tau20-lama0.001__a2-m0.02-md0.07-phi-1.5708_1.5708__h200,0,1000,"[0.087,0.642)",0.15151515151515152,0.5995875133168383,-108.9140565280857,172.5909090909091,0.6130357707028482,0.0,0.6558333333333333,1.1475880250876602,0.4537252305637389,66,direct,0,tau_l1,0.0,proj_box_jointlimit,ctrl-direct__pi-0-tau_l1-a0.0005__sf-proj_box_jointlimit-dt2-qm0.15__tau20-lama0.001__a2-m0.02-md0.07-phi-1.5708_1.5708__h200 | control=direct | use_pi_reward=0 | pi_metric=tau_l1 | alpha_pi=0.0 | safety_filter=proj_box_jointlimit
ctrl-direct__pi-0-tau_l1-a0.0005__sf-proj_box_jointlimit-dt2-qm0.15__tau20-lama0.001__a2-m0.02-md0.07-phi-1.5708_1.5708__h200,1,1000,"[0.087,0.642)",0.5606060606060606,0.27195341483782975,-49.747265851733076,134.25757575757575,1.0643499449517286,0.0,0.022222087181980224,0.008373995264984554,0.4537252305637389,66,direct,0,tau_l1,0.0,proj_box_jointlimit,ctrl-direct__pi-0-tau_l1-a0.0005__sf-proj_box_jointlimit-dt2-qm0.15__tau20-lama0.001__a2-m0.02-md0.07-phi-1.5708_1.5708__h200 | control=direct | use_pi_reward=0 | pi_metric=tau_l1 | alpha_pi=0.0 | safety_filter=proj_box_jointlimit
ctrl-direct__pi-0-tau_l1-a0.0005__sf-proj_box_jointlimit-dt2-qm0.15__tau20-lama0.001__a2-m0.02-md0.07-phi-1.5708_1.5708__h200,2,1000,"[0.087,0.642)",0.3181818181818182,0.4437042389906222,-79.23188293616076,157.6818181818182,0.9849538593728857,0.0,0.07992424242424243,0.10284628236947385,0.4537252305637389,66,direct,0,tau_l1,0.0,proj_box_jointlimit,ctrl-direct__pi-0-tau_l1-a0.0005__sf-proj_box_jointlimit-dt2-qm0.15__tau20-lama0.001__a2-m0.02-md0.07-phi-1.5708_1.5708__h200 | control=direct | use_pi_reward=0 | pi_metric=tau_l1 | alpha_pi=0.0 | safety_filter=proj_box_jointlimit
ctrl-direct__pi-0-tau_l1-a0.0005__sf-proj_box_jointlimit-dt2-qm0.15__tau20-lama0.001__a2-m0.02-md0.07-phi-1.5708_1.5708__h200,3,1000,"[0.087,0.642)",0.2727272727272727,0.21171075227082362,-57.901864926377,158.96969696969697,0.8195513037277229,0.0,0.0027316480836922074,0.0007174623217229848,0.4537252305637389,66,direct,0,tau_l1,0.0,proj_box_jointlimit,ctrl-direct__pi-0-tau_l1-a0.0005__sf-proj_box_jointlimit-dt2-qm0.15__tau20-lama0.001__a2-m0.02-md0.07-phi-1.5708_1.5708__h200 | control=direct | use_pi_reward=0 | pi_metric=tau_l1 | alpha_pi=0.0 | safety_filter=proj_box_jointlimit
ctrl-direct__pi-0-tau_l1-a0.0005__sf-proj_box_jointlimit-dt2-qm0.15__tau20-lama0.001__a2-m0.02-md0.07-phi-1.5708_1.5708__h200,4,1000,"[0.087,0.642)",0.3787878787878788,0.4013251211569999,-64.67624450007503,152.4848484848485,1.1697378103196103,0.0,0.10182116733840871,0.10638607173630672,0.4537252305637389,66,direct,0,tau_l1,0.0,proj_box_jointlimit,ctrl-direct__pi-0-tau_l1-a0.0005__sf-proj_box_jointlimit-dt2-qm0.15__tau20-lama0.001__a2-m0.02-md0.07-phi-1.5708_1.5708__h200 | control=direct | use_pi_reward=0 | pi_metric=tau_l1 | alpha_pi=0.0 | safety_filter=proj_box_jointlimit
ctrl-direct__pi-0-tau_l1-a0.0005__sf-proj_box_jointlimit-dt2-qm0.15__tau20-lama0.001__a2-m0.02-md0.07-phi-1.5708_1.5708__h200,0,1000,"[0.642,0.924)",0.10606060606060606,0.4982796525629539,-103.45695678589689,181.74242424242425,0.6776394872942773,0.0,0.7346212121212121,1.3790787750888955,0.7906963271951564,66,direct,0,tau_l1,0.0,proj_box_jointlimit,ctrl-direct__pi-0-tau_l1-a0.0005__sf-proj_box_jointlimit-dt2-qm0.15__tau20-lama0.001__a2-m0.02-md0.07-phi-1.5708_1.5708__h200 | control=direct | use_pi_reward=0 | pi_metric=tau_l1 | alpha_pi=0.0 | safety_filter=proj_box_jointlimit
ctrl-direct__pi-0-tau_l1-a0.0005__sf-proj_box_jointlimit-dt2-qm0.15__tau20-lama0.001__a2-m0.02-md0.07-phi-1.5708_1.5708__h200,1,1000,"[0.642,0.924)",0.5303030303030303,0.22344125925163535,-61.06344931897117,134.3030303030303,1.2608931621715431,0.0,0.04136552299451795,0.01607851778110751,0.7906963271951564,66,direct,0,tau_l1,0.0,proj_box_jointlimit,ctrl-direct__pi-0-tau_l1-a0.0005__sf-proj_box_jointlimit-dt2-qm0.15__tau20-lama0.001__a2-m0.02-md0.07-phi-1.5708_1.5708__h200 | control=direct | use_pi_reward=0 | pi_metric=tau_l1 | alpha_pi=0.0 | safety_filter=proj_box_jointlimit
