mode,seed,episode_idx,success,final_distance,length,return,tau_effort,tau_sum_total,energy,target_radius,torque_sat1_count,torque_sat2_count,torque_sat_any_count,torque_sat1_rate,torque_sat2_rate,torque_sat_any_rate,step,theta1,theta2,target_x,target_y,action0,action1,distance,tau1,tau2,tau_sum,omega1,omega2,power,cumulative_energy,tip_x,tip_y,sat1,sat2,sat_any,reward,done
pure,3,15,1,0.04844116270533866,94,-13.575227518343167,0.8664538740923367,81.44666416467965,0.47520232572195675,0.8975067013411194,1,0,1,0.010638297872340425,0.0,0.010638297872340425,0,0.0,0.0,0.8807963132858276,0.17238368093967438,0.0,0.0,0.209584475523742,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,False,False,False,0.0,False
pure,3,15,1,0.04844116270533866,94,-13.575227518343167,0.8664538740923367,81.44666416467965,0.47520232572195675,0.8975067013411194,1,0,1,0.010638297872340425,0.0,0.010638297872340425,1,0.0,0.0,0.8807963132858276,0.17238368093967438,0.10000000149011612,0.10000000149011612,0.19976151198778347,20.0,3.1105159320256677,23.110515932025667,1.6857737576570138,2.400000035762787,41.18071350124259,0.17158630625517746,0.9999152421951294,0.012023617513477802,True,False,True,-0.19990293335054116,False
pure,3,15,1,0.04844116270533866,94,-13.575227518343167,0.8664538740923367,81.44666416467965,0.47520232572195675,0.8975067013411194,1,0,1,0.010638297872340425,0.0,0.010638297872340425,2,0.00702405720949173,0.009999999776482582,0.8807963132858276,0.17238368093967438,0.10000000149011612,0.10000000149011612,0.18772758198365397,7.70733011086543,0.5461881733495724,8.253518284215003,2.400000035762787,2.399748214650084,19.808306635571267,0.2541209172367244,0.9995849132537842,0.027018895372748375,False,False,False,-0.18786900334641166,False
pure,3,15,1,0.04844116270533866,94,-13.575227518343167,0.8664538740923367,81.44666416467965,0.47520232572195675,0.8975067013411194,1,0,1,0.010638297872340425,0.0,0.010638297872340425,3,0.017024056985974312,0.019998950883746147,0.8807963132858276,0.17238368093967438,0.10000000149011612,0.10000000149011612,0.17598719581366593,0.012964453801222048,0.003658842271611695,0.01662329607283374,2.4000000357627864,2.39991467952911,0.039895598864300455,0.254287148898659,0.9990047216415405,0.04200625792145729,False,False,False,-0.1761286171764236,False
pure,3,15,1,0.04844116270533866,94,-13.575227518343167,0.8664538740923367,81.44666416467965,0.47520232572195675,0.8975067013411194,1,0,1,0.010638297872340425,0.0,0.010638297872340425,4,0.027024056762456894,0.029998594895005226,0.8807963132858276,0.17238368093967438,0.10000000149011612,0.10000000149011612,0.1646072430710082,0.012838578235293366,0.003532966705674115,0.01637154494096748,2.400000035762787,2.3999155082770383,0.03929140981102116,0.2544508631062049,0.9981749653816223,0.05698089301586151,False,False,False,-0.1647486644337659,False
pure,3,15,1,0.04844116270533866,94,-13.575227518343167,0.8664538740923367,81.44666416467965,0.47520232572195675,0.8975067013411194,1,0,1,0.010638297872340425,0.0,0.010638297872340425,5,0.037024058401584625,0.03999824449419975,0.8807963132858276,0.17238368093967438,0.10000000149011612,0.10000000149011612,0.1536712402671435,0.012837951561884416,0.0035323400322740633,0.016370291594158478,2.4000000357627864,2.399915512402972,0.03928840184618006,0.254614564780564,0.9970958232879639,0.07193826884031296,False,False,False,-0.15381266162990118,False
pure,3,15,1,0.04844116270533866,94,-13.575227518343167,0.8664538740923367,81.44666416467965,0.47520232572195675,0.8975067013411194,1,0,1,0.010638297872340425,0.0,0.010638297872340425,6,0.04702405631542206,0.04999789223074913,0.8807963132858276,0.17238368093967438,0.10000000149011612,0.10000000149011612,0.1432840989040185,0.012837948441991012,0.0035323369123717585,0.01637028535436277,2.400000035762787,2.3999155124235125,0.0392883868710064,0.25477826639252654,0.9957677125930786,0.08687393367290497,False,False,False,-0.14342552026677619,False
pure,3,15,1,0.04844116270533866,94,-13.575227518343167,0.8664538740923367,81.44666416467965,0.47520232572195675,0.8975067013411194,1,0,1,0.010638297872340425,0.0,0.010638297872340425,7,0.05702405795454979,0.05999753996729851,0.8807963132858276,0.17238368093967438,0.10000000149011612,0.10000000149011612,0.13357680423600277,0.012837948426449189,0.003532336896838834,0.016370285323288023,2.4000000357627864,2.3999155124236147,0.03928838679642867,0.25494196800417834,0.99419105052948,0.1017833799123764,False,False,False,-0.13371822559876045,False
pure,3,15,1,0.04844116270533866,94,-13.575227518343167,0.8664538740923367,81.44666416467965,0.47520232572195675,0.8975067013411194,1,0,1,0.010638297872340425,0.0,0.010638297872340425,8,0.06702405959367752,0.06999718397855759,0.8807963132858276,0.17238368093967438,0.10000000149011612,0.10000000149011612,0.12471063947385998,0.012837948426382013,0.0035323368967627635,0.016370285323144777,2.400000035762787,2.3999155124236156,0.039288386796084894,0.2551056696158287,0.9923663139343262,0.11666218936443329,False,False,False,-0.12485206083661766,False
pure,3,15,1,0.04844116270533866,94,-13.575227518343167,0.8664538740923367,81.44666416467965,0.47520232572195675,0.8975067013411194,1,0,1,0.010638297872340425,0.0,0.010638297872340425,9,0.07702405750751495,0.07999683171510696,0.8807963132858276,0.17238368093967438,0.10000000149011612,0.10000000149011612,0.11687940142091424,0.012837948426371815,0.0035323368967614625,0.016370285323133275,2.4000000357627864,2.399915512423616,0.0392883867960573,0.25526937122747895,0.9902942776679993,0.13150586187839508,False,False,False,-0.11702082278367193,False
pure,3,15,1,0.04844116270533866,94,-13.575227518343167,0.8664538740923367,81.44666416467965,0.47520232572195675,0.8975067013411194,1,0,1,0.010638297872340425,0.0,0.010638297872340425,10,0.08702405542135239,0.08999648690223694,0.8807963132858276,0.17238368093967438,0.10000000149011612,0.10000000149011612,0.11030511383469274,0.01283794842638067,0.0035323368967614182,0.016370285323142088,2.400000035762787,2.399915512423615,0.03928838679607844,0.25543307283912925,0.987975537776947,0.1463099867105484,False,False,False,-0.11044653519745043,False
pure,3,15,1,0.04844116270533866,94,-13.575227518343167,0.8664538740923367,81.44666416467965,0.47520232572195675,0.8975067013411194,1,0,1,0.010638297872340425,0.0,0.010638297872340425,11,0.09702406078577042,0.09999613463878632,0.8807963132858276,0.17238368093967438,0.10000000149011612,0.10000000149011612,0.10522456815814386,0.01283794842637249,0.003532336896762135,0.016370285323134625,2.4000000357627864,2.3999155124236164,0.03928838679606053,0.2555967744507795,0.9854109287261963,0.1610700935125351,False,False,False,-0.10536598952090155,False
pure,3,15,1,0.04844116270533866,94,-13.575227518343167,0.8664538740923367,81.44666416467965,0.47520232572195675,0.8975067013411194,1,0,1,0.010638297872340425,0.0,0.010638297872340425,12,0.10702405869960785,0.1099957823753357,0.8807963132858276,0.17238368093967438,0.10000000149011612,0.10000000149011612,0.1018616448578704,0.01283794842638067,0.0035323368967614182,0.016370285323142088,2.400000035762787,2.3999155124236156,0.03928838679607845,0.2557604760624298,0.9826012849807739,0.17578183114528656,False,False,False,-0.10200306622062809,False
pure,3,15,1,0.04844116270533866,94,-13.575227518343167,0.8664538740923367,81.44666416467965,0.47520232572195675,0.8975067013411194,1,0,1,0.010638297872340425,0.0,0.010638297872340425,13,0.11702405661344528,0.11999543011188507,0.8807963132858276,0.17238368093967438,0.10000000149011612,0.10000000149011612,0.10038861179954736,0.012837948426371818,0.0035323368967614625,0.016370285323133282,2.4000000357627864,2.399915512423616,0.0392883867960573,0.25592417767408004,0.9795476198196411,0.19044074416160583,False,False,False,-0.10053003316230505,False
pure,3,15,1,0.04844116270533866,94,-13.575227518343167,0.8664538740923367,81.44666416467965,0.47520232572195675,0.8975067013411194,1,0,1,0.010638297872340425,0.0,0.010638297872340425,14,0.12702405452728271,0.12999507784843445,0.8807963132858276,0.17238368093967438,0.10000000149011612,0.10000000149011612,0.10088702220092635,0.01283794842638067,0.0035323368967614182,0.016370285323142088,2.400000035762787,2.399915512423615,0.03928838679607844,0.25608787928573035,0.9762510061264038,0.20504248142242432,False,False,False,-0.10102844356368404,False
pure,3,15,1,0.04844116270533866,94,-13.575227518343167,0.8664538740923367,81.44666416467965,0.47520232572195675,0.8975067013411194,1,0,1,0.010638297872340425,0.0,0.010638297872340425,15,0.13702405989170074,0.13999472558498383,0.8807963132858276,0.17238368093967438,0.10000000149011612,0.10000000149011612,0.10332623344598979,0.012837948426372491,0.0035323368967621355,0.01637028532313463,2.4000000357627864,2.3999155124236164,0.03928838679606053,0.2562515808973806,0.9727123975753784,0.2195827066898346,False,False,False,-0.10346765480874748,False
pure,3,15,1,0.04844116270533866,94,-13.575227518343167,0.8664538740923367,81.44666416467965,0.47520232572195675,0.8975067013411194,1,0,1,0.010638297872340425,0.0,0.010638297872340425,16,0.14702406525611877,0.1499943733215332,0.8807963132858276,0.17238368093967438,0.10000000149011612,0.10000000149011612,0.10757184042746136,0.01283794842638067,0.0035323368967614182,0.016370285323142088,2.400000035762787,2.3999155124236156,0.03928838679607845,0.2564152825090309,0.96893310546875,0.23405709862709045,False,False,False,-0.10771326179021905,False
pure,3,15,1,0.04844116270533866,94,-13.575227518343167,0.8664538740923367,81.44666416467965,0.47520232572195675,0.8975067013411194,1,0,1,0.010638297872340425,0.0,0.010638297872340425,17,0.1570240557193756,0.15999402105808258,0.8807963132858276,0.17238368093967438,0.10000000149011612,0.10000000149011612,0.11341809095420291,0.012837948426371815,0.0035323368967614625,0.016370285323133275,2.4000000357627864,2.399915512423616,0.0392883867960573,0.25657898412068114,0.9649144411087036,0.24846132099628448,False,False,False,-0.1135595123169606,False
pure,3,15,1,0.04844116270533866,94,-13.575227518343167,0.8664538740923367,81.44666416467965,0.47520232572195675,0.8975067013411194,1,0,1,0.010638297872340425,0.0,0.010638297872340425,18,0.16702406108379364,0.16999366879463196,0.8807963132858276,0.17238368093967438,0.10000000149011612,0.10000000149011612,0.12062894132205053,0.012837948426382011,0.0035323368967627635,0.016370285323144773,2.400000035762787,2.399915512423617,0.0392883867960849,0.2567426857323315,0.9606577157974243,0.26279109716415405,False,False,False,-0.12077036268480822,False
pure,3,15,1,0.04844116270533866,94,-13.575227518343167,0.8664538740923367,81.44666416467965,0.47520232572195675,0.8975067013411194,1,0,1,0.010638297872340425,0.0,0.010638297872340425,19,0.17702406644821167,0.17999331653118134,0.8807963132858276,0.17238368093967438,0.10000000149011612,0.10000000149011612,0.1289719320631884,0.012837948426370469,0.0035323368967601168,0.016370285323130587,2.4000000357627864,2.3999155124236156,0.03928838679605083,0.2569063873439817,0.9561644792556763,0.2770421802997589,False,False,False,-0.1291133534259461,False
pure,3,15,1,0.04844116270533866,94,-13.575227518343167,0.8664538740923367,81.44666416467965,0.47520232572195675,0.8975067013411194,1,0,1,0.010638297872340425,0.0,0.010638297872340425,20,0.1870240569114685,0.1899929642677307,0.8807963132858276,0.17238368093967438,0.10000000149011612,0.10000000149011612,0.13823800914307643,0.012837948426391545,0.0035323368967633915,0.01637028532315494,2.4000000357627878,2.3999155124236164,0.0392883867961093,0.25707008895563216,0.9514360427856445,0.2912103533744812,False,False,False,-0.13837943050583412,False
pure,3,15,1,0.04844116270533866,94,-13.575227518343167,0.8664538740923367,81.44666416467965,0.47520232572195675,0.8975067013411194,1,0,1,0.010638297872340425,0.0,0.010638297872340425,21,0.19702406227588654,0.1999926120042801,0.8807963132858276,0.17238368093967438,0.10000000149011612,0.10000000149011612,0.1482498968287761,0.012837948426370467,0.0035323368967601168,0.016370285323130583,2.4000000357627873,2.399915512423615,0.03928838679605084,0.25723379056728235,0.9464741945266724,0.3052913546562195,False,False,False,-0.14839131819153378,False
pure,3,15,1,0.04844116270533866,94,-13.575227518343167,0.8664538740923367,81.44666416467965,0.47520232572195675,0.8975067013411194,1,0,1,0.010638297872340425,0.0,0.010638297872340425,22,0.20702406764030457,0.20999225974082947,0.8807963132858276,0.17238368093967438,0.10000000149011612,0.10000000149011612,0.1588622042165576,0.01283794842636296,0.0035323368967615063,0.016370285323124466,2.400000035762786,2.3999155124236164,0.03928838679603615,0.2573974921789325,0.9412806034088135,0.31928110122680664,False,False,False,-0.1590036255793153,False
pure,3,15,1,0.04844116270533866,94,-13.575227518343167,0.8664538740923367,81.44666416467965,0.47520232572195675,0.8975067013411194,1,0,1,0.010638297872340425,0.0,0.010638297872340425,23,0.2170240581035614,0.21999190747737885,0.8807963132858276,0.17238368093967438,0.10000000149011612,0.10000000149011612,0.16995782267880294,0.012837948426389523,0.003532336896761373,0.016370285323150897,2.4000000357627873,2.3999155124236147,0.039288386796099584,0.2575611937905829,0.9358569979667664,0.3331754207611084,False,False,False,-0.17009924404156063,False
pure,3,15,1,0.04844116270533866,94,-13.575227518343167,0.8664538740923367,81.44666416467965,0.47520232572195675,0.8975067013411194,1,0,1,0.010638297872340425,0.0,0.010638297872340425,24,0.22702406346797943,0.22999155521392822,0.8807963132858276,0.17238368093967438,0.10000000149011612,0.10000000149011612,0.1814434008536011,0.012837948426382686,0.0035323368967634366,0.016370285323146123,2.4000000357627878,2.3999155124236164,0.03928838679608814,0.25772489540223326,0.9302051663398743,0.34697026014328003,False,False,False,-0.1815848222163588,False
pure,3,15,1,0.04844116270533866,94,-13.575227518343167,0.8664538740923367,81.44666416467965,0.47520232572195675,0.8975067013411194,1,0,1,0.010638297872340425,0.0,0.010638297872340425,25,0.23702405393123627,0.2399912029504776,0.8807963132858276,0.17238368093967438,0.10000000149011612,0.10000000149011612,0.1932446644087118,0.012837948426370469,0.0035323368967601168,0.016370285323130587,2.4000000357627873,2.399915512423615,0.039288386796050845,0.25788859701388345,0.9243270754814148,0.3606615960597992,False,False,False,-0.19338608577146948,False
pure,3,15,1,0.04844116270533866,94,-13.575227518343167,0.8664538740923367,81.44666416467965,0.47520232572195675,0.8975067013411194,1,0,1,0.010638297872340425,0.0,0.010638297872340425,26,0.2470240592956543,0.24999085068702698,0.8807963132858276,0.17238368093967438,0.08768779784440994,0.10000000149011612,0.2042755846033415,3.172472305671237,0.2212843201740137,3.393756625845251,2.1045071482658377,2.400103689751204,7.2075959582942595,0.28792024684010953,0.9186846017837524,0.37311482429504395,False,False,False,-0.20440858517089694,False
pure,3,15,1,0.04844116270533866,94,-13.575227518343167,0.8664538740923367,81.44666416467965,0.47520232572195675,0.8975067013411194,1,0,1,0.010638297872340425,0.0,0.010638297872340425,27,0.2557928264141083,0.25999128818511963,0.8807963132858276,0.17238368093967438,0.0472152903676033,0.10000000149011612,0.21206993743209918,10.460505652777545,0.736399469316428,11.196905122093973,1.1331669688224792,2.4000241717289694,13.620876009316152,0.3446738968789268,0.9144045114517212,0.38177362084388733,False,False,False,-0.2121805235239752,False
pure,3,15,1,0.04844116270533866,94,-13.575227518343167,0.8664538740923367,81.44666416467965,0.47520232572195675,0.8975067013411194,1,0,1,0.010638297872340425,0.0,0.010638297872340425,28,0.26051437854766846,0.269991397857666,0.8807963132858276,0.17238368093967438,0.016690658405423164,0.10000000149011612,0.2173498498378432,7.892148964512868,0.5555143969341331,8.447663361447,0.40057580173015594,2.4002578954502884,4.494781716111021,0.36340215402938936,0.9112070798873901,0.387595534324646,False,False,False,-0.217451233166281,False
pure,3,15,1,0.04844116270533866,94,-13.575227518343167,0.8664538740923367,81.44666416467965,0.47520232572195675,0.8975067013411194,1,0,1,0.010638297872340425,0.0,0.010638297872340425,29,0.26218342781066895,0.2799924612045288,0.8807963132858276,0.17238368093967438,-0.006351495161652565,0.10000000149011612,0.22069578312031882,5.959422034750476,0.41970733903947477,6.379129373789951,-0.15243588387966162,2.4001947475846843,1.9158091159644122,0.3713846920125744,0.9088542461395264,0.3912886381149292,False,False,False,-0.22079598463021174,False
pure,3,15,1,0.04844116270533866,94,-13.575227518343167,0.8664538740923367,81.44666416467965,0.47520232572195675,0.8975067013411194,1,0,1,0.010638297872340425,0.0,0.010638297872340425,30,0.2615482807159424,0.2899932563304901,0.8807963132858276,0.17238368093967438,-0.02375568263232708,0.10000000149011612,0.22256249553698498,4.5022540709541765,0.31710703070443447,4.819361101658611,-0.5701363831758499,2.400147137627312,3.328002384219305,0.3852513686134882,0.9071499109268188,0.39338040351867676,False,False,False,-0.22266527847933967,False
pure,3,15,1,0.04844116270533866,94,-13.575227518343167,0.8664538740923367,81.44666416467965,0.47520232572195675,0.8975067013411194,1,0,1,0.010638297872340425,0.0,0.010638297872340425,31,0.2591727077960968,0.2999938726425171,0.8807963132858276,0.17238368093967438,-0.03690866380929947,0.10000000149011612,0.22330093666568307,3.4036034279463596,0.23969221435268317,3.6432956422990426,-0.8858079314231873,2.400111241483846,3.5902268900580645,0.40021064732206346,0.9059375524520874,0.3942647874355316,False,False,False,-0.22340753052040843,False
pure,3,15,1,0.04844116270533866,94,-13.575227518343167,0.8664538740923367,81.44666416467965,0.47520232572195675,0.8975067013411194,1,0,1,0.010638297872340425,0.0,0.010638297872340425,32,0.2554818391799927,0.30999433994293213,0.8807963132858276,0.17238368093967438,-0.04685331881046295,0.10000000149011612,0.22317978927845372,2.5746519774809,0.18123925412133776,2.755891231602238,-1.1244796514511108,2.4000841572051628,3.330133220725939,0.41408620240842153,0.9050943851470947,0.39423683285713196,False,False,False,-0.22329022131467474,False
pure,3,15,1,0.04844116270533866,94,-13.575227518343167,0.8664538740923367,81.44666416467965,0.47520232572195675,0.8975067013411194,1,0,1,0.010638297872340425,0.0,0.010638297872340425,33,0.25079652667045593,0.3199946880340576,0.8807963132858276,0.17238368093967438,-0.05437484383583069,0.10000000149011612,0.22240397398260595,1.9486814740333762,0.1370752652907371,2.0857567393241134,-1.3049962520599365,2.400063704910214,2.8720113891374255,0.42605291652982746,0.9045249223709106,0.39351820945739746,False,False,False,-0.22251780115154746,False
pure,3,15,1,0.04844116270533866,94,-13.575227518343167,0.8664538740923367,81.44666416467965,0.47520232572195675,0.8975067013411194,1,0,1,0.010638297872340425,0.0,0.010638297872340425,34,0.24535903334617615,0.32999497652053833,0.8807963132858276,0.17238368093967438,-0.060065172612667084,0.10000000149011612,0.22112953214612285,1.4756866294016087,0.10369034434614939,1.579376973747758,-1.44156414270401,2.4000482507793577,2.3761587603837855,0.4359535780314266,0.9041558504104614,0.39227592945098877,False,False,False,-0.2212461847316889,False
pure,3,15,1,0.04844116270533866,94,-13.575227518343167,0.8664538740923367,81.44666416467965,0.47520232572195675,0.8975067013411194,1,0,1,0.010638297872340425,0.0,0.010638297872340425,35,0.2393525242805481,0.3399951756000519,0.8807963132858276,0.17238368093967438,-0.06437098979949951,0.10000000149011612,0.2194747392395002,1.118104373160822,0.07844357127630705,1.196547944437129,-1.5449037551879885,2.4000365675167554,1.9156310843380098,0.4439353742161683,0.9039307832717896,0.39063572883605957,False,False,False,-0.219593666211651,False
pure,3,15,1,0.04844116270533866,94,-13.575227518343167,0.8664538740923367,81.44666416467965,0.47520232572195675,0.8975067013411194,1,0,1,0.010638297872340425,0.0,0.010638297872340425,36,0.23291541635990143,0.34999531507492065,0.8807963132858276,0.17238368093967438,-0.06762988865375519,0.10000000149011612,0.21752960287163717,0.8477334001852094,0.05934974395585596,0.9070831441410654,-1.6231173276901247,2.4000277337029345,1.5184118025845026,0.4502620900602704,0.9038070440292358,0.38869279623031616,False,False,False,-0.21765032488236888,False
pure,3,15,1,0.04844116270533866,94,-13.575227518343167,0.8664538740923367,81.44666416467965,0.47520232572195675,0.8975067013411194,1,0,1,0.010638297872340425,0.0,0.010638297872340425,37,0.2261524349451065,0.35999542474746704,0.8807963132858276,0.17238368093967438,-0.07009691745042801,0.10000000149011612,0.21536252770324657,0.6430306303227402,0.044695174974992036,0.6877258052977322,-1.6823260188102722,2.4002976324923595,1.1890688829602207,0.45521654373927134,0.9037516713142395,0.38651931285858154,False,False,False,-0.21548464886595914,False
pure,3,15,1,0.04844116270533866,94,-13.575227518343167,0.8664538740923367,81.44666416467965,0.47520232572195675,0.8975067013411194,1,0,1,0.010638297872340425,0.0,0.010638297872340425,38,0.21914273500442505,0.36999666690826416,0.8807963132858276,0.17238368093967438,-0.0719669982790947,0.10000000149011612,0.21302445090423364,0.48914353897021384,0.034066514343373745,0.5232100533135876,-1.727207958698273,2.400226413031029,0.9266199609820582,0.45907746024336327,0.9037405848503113,0.3841688930988312,False,False,False,-0.21314765500138538,False
pure,3,15,1,0.04844116270533866,94,-13.575227518343167,0.8664538740923367,81.44666416467965,0.47520232572195675,0.8975067013411194,1,0,1,0.010638297872340425,0.0,0.010638297872340425,39,0.211946040391922,0.3799976110458374,0.8807963132858276,0.17238368093967438,-0.07338283210992813,0.10000000149011612,0.21055459904022636,0.37183572140947024,0.02576758268201401,0.39760330409148426,-1.761187970638275,2.400172122580135,0.7167192332196125,0.4620637903817783,0.9037549495697021,0.3816828429698944,False,False,False,-0.21067863549389065,False
pure,3,15,1,0.04844116270533866,94,-13.575227518343167,0.8664538740923367,81.44666416467965,0.47520232572195675,0.8975067013411194,1,0,1,0.010638297872340425,0.0,0.010638297872340425,40,0.204607754945755,0.38999834656715393,0.8807963132858276,0.17238368093967438,-0.0744551569223404,0.10000000149011612,0.20798255703743276,0.28312762426935945,0.019491135244008424,0.30261875951336786,-1.7869237661361697,2.400131068175647,0.5527087599097481,0.46436674354806895,0.9037808179855347,0.3790923058986664,False,False,False,-0.20810723089571773,False
pure,3,15,1,0.04844116270533866,94,-13.575227518343167,0.8664538740923367,81.44666416467965,0.47520232572195675,0.8975067013411194,1,0,1,0.010638297872340425,0.0,0.010638297872340425,41,0.19716224074363708,0.39999887347221375,0.8807963132858276,0.17238368093967438,-0.07526759058237076,0.10000000149011612,0.20533077791902365,0.2160144589751047,0.014742344615908981,0.2307568035910137,-1.806422173976898,2.400100007977951,0.425596410022509,0.46614006192316276,0.9038074016571045,0.3764209747314453,False,False,False,-0.20545593865784945,False
pure,3,15,1,0.04844116270533866,94,-13.575227518343167,0.8664538740923367,81.44666416467965,0.47520232572195675,0.8975067013411194,1,0,1,0.010638297872340425,0.0,0.010638297872340425,42,0.1896354854106903,0.409999281167984,0.8807963132858276,0.17238368093967438,-0.07588358223438263,0.10000000149011612,0.2026163847670182,0.16528704109447892,0.01115278989450347,0.1764398309889824,-1.8212059736251833,2.4000765311590397,0.3277892958868417,0.4675058506560246,0.9038266539573669,0.37368693947792053,False,False,False,-0.2027419169023856,False
