mode,seed,episode_idx,success,final_distance,length,return,tau_effort,tau_sum_total,energy,step,theta1,theta2,target_x,target_y,action0,action1,distance,tau1,tau2,tau_sum,omega1,omega2,power,cumulative_energy,reward,done
pirl,4,8,0,0.36612993394007043,200,-80.36624291902035,3.573911245806205,714.782249161241,44.170394529011006,1,0.0,0.0,0.1353280395269394,0.456652969121933,0.10000000149011612,0.10000000149011612,0.649099169362639,20.0,20.0,40.0,7.982806875574786,-60.404836834996516,1367.752874211426,5.698970309214275,-0.6692405907253967,False
pirl,4,8,0,0.36612993394007043,200,-80.36624291902035,3.573911245806205,714.782249161241,44.170394529011006,2,0.10000000149011612,0.10000000149011612,0.1353280395269394,0.456652969121933,0.10000000149011612,0.10000000149011612,0.7449441255254321,20.0,5.839844404922414,25.839844404922413,9.388979878495636,-53.673417063700086,501.2240019024289,7.7874036504743955,-0.7580054690906509,False
pirl,4,8,0,0.36612993394007043,200,-80.36624291902035,3.573911245806205,714.782249161241,44.170394529011006,3,0.20000000298023224,0.20000000298023224,0.1353280395269394,0.456652969121933,0.10000000149011612,0.10000000149011612,0.8274527100126543,20.0,6.664808292224198,26.664808292224198,10.710334542791475,-45.906075321567286,520.1618823224798,9.954744826818061,-0.8409265355215241,False
pirl,4,8,0,0.36612993394007043,200,-80.36624291902035,3.573911245806205,714.782249161241,44.170394529011006,4,0.30000001192092896,0.30000001192092896,0.1353280395269394,0.456652969121933,0.10000000149011612,0.10000000149011612,0.8936661974784521,20.0,6.199613033391085,26.199613033391085,12.075462809374692,-38.91546775364778,482.7700972735191,11.966286898791058,-0.9069074253579053,False
pirl,4,8,0,0.36612993394007043,200,-80.36624291902035,3.573911245806205,714.782249161241,44.170394529011006,5,0.4000000059604645,0.4000000059604645,0.1353280395269394,0.456652969121933,0.10000000149011612,0.10000000149011612,0.9437470229920124,20.0,5.764929498222873,25.764929498222873,13.480894476539008,-32.6239209425202,457.6924937200058,13.873338955957749,-0.9567709091038815,False
pirl,4,8,0,0.36612993394007043,200,-80.36624291902035,3.573911245806205,714.782249161241,44.170394529011006,6,0.5,0.5,0.1353280395269394,0.456652969121933,-0.10000000149011612,0.10000000149011612,0.9788717465029874,20.0,5.359922868740133,25.359922868740135,14.923218920051003,-26.9615288125054,442.9760932593638,15.719072677871765,-0.9916931293001151,False
pirl,4,8,0,0.36612993394007043,200,-80.36624291902035,3.573911245806205,714.782249161241,44.170394529011006,7,0.4000000059604645,0.6000000238418579,0.1353280395269394,0.456652969121933,0.019922377541661263,0.10000000149011612,1.0003900648500443,20.0,4.983416645464984,24.983416645464985,16.399121657612888,-21.86537589549208,436.9467113492018,17.539683975160106,-1.0129837383692075,False
pirl,4,8,0,0.36612993394007043,200,-80.36624291902035,3.573911245806205,714.782249161241,44.170394529011006,8,0.4199223816394806,0.699999988079071,0.1353280395269394,0.456652969121933,-0.10000000149011612,0.10000000149011612,1.0094965884050537,20.0,4.634007530566603,24.634007530566603,17.905409495442413,-17.278838270180074,438.17845657230515,19.36542754421138,-1.0219550135330948,False
pirl,4,8,0,0.36612993394007043,200,-80.36624291902035,3.573911245806205,714.782249161241,44.170394529011006,9,0.31992238759994507,0.800000011920929,0.1353280395269394,0.456652969121933,0.03643181920051575,0.10000000149011612,1.0071250524734763,20.0,4.310245847430241,24.31024584743024,19.439017667367683,-13.150954407399286,445.46419997159086,21.221528377426342,-1.0193866050858238,False
pirl,4,8,0,0.36612993394007043,200,-80.36624291902035,3.573911245806205,714.782249161241,44.170394529011006,10,0.3563542068004608,0.9000000357627869,0.1353280395269394,0.456652969121933,-0.10000000149011612,0.10000000149011612,0.9939450506717779,20.0,4.019564477332398,24.0195644773324,20.996125755445203,-9.435858930896572,457.8505584806556,23.129239037762407,-1.0060962542732017,False
pirl,4,8,0,0.36612993394007043,200,-80.36624291902035,3.573911245806205,714.782249161241,44.170394529011006,11,0.2563542127609253,1.0,0.1353280395269394,0.456652969121933,0.015621589496731758,0.10000000149011612,0.9704043816115319,20.0,3.764151463941108,23.764151463941108,22.572687235512713,-6.092273002044131,474.3859830496276,25.10584730046919,-0.9823876701654033,False
pirl,4,8,0,0.36612993394007043,200,-80.36624291902035,3.573911245806205,714.782249161241,44.170394529011006,12,0.2719757854938507,1.100000023841858,0.1353280395269394,0.456652969121933,-0.10000000149011612,0.10000000149011612,0.9367923270295476,20.0,3.5397810306631055,23.539781030663107,24.165074657777136,-3.0830456660769316,494.21479972098996,27.165075632639983,-0.9487036389076368,False
pirl,4,8,0,0.36612993394007043,200,-80.36624291902035,3.573911245806205,714.782249161241,44.170394529011006,13,0.17197579145431519,1.2000000476837158,0.1353280395269394,0.456652969121933,0.049767911434173584,0.10000000149011612,0.8933118797711924,20.0,3.3427693880151663,23.342769388015167,25.7700280658742,-0.3747410637064519,516.6532342736742,29.317797442113626,-0.9050949642698637,False
