mode,seed,episode_idx,success,final_distance,length,return,tau_effort,tau_sum_total,energy,step,theta1,theta2,target_x,target_y,action0,action1,distance,tau1,tau2,tau_sum,omega1,omega2,power,cumulative_energy,reward,done
pirl,1,16,1,0.049995697724394404,78,-10.137200145175656,22.027277590776226,1718.1276520805457,27.084443522932812,1,0.0,0.0,0.8663116097450256,0.033165283501148224,-0.10000000149011612,0.10000000149011612,0.485547072169775,20.0,17.521219681209367,37.52121968120937,6.9347041628957315,-58.145261879118834,1157.4699900634043,4.822791625264185,-0.5044491033731374,False
pirl,1,16,1,0.049995697724394404,78,-10.137200145175656,22.027277590776226,1718.1276520805457,27.084443522932812,2,-0.10000000149011612,0.10000000149011612,0.8663116097450256,0.033165283501148224,-0.10000000149011612,0.10000000149011612,0.4352546466201392,20.0,6.905288580112172,26.90528858011217,8.236143119512834,-49.93073565544415,509.50900110839484,6.945745796549163,-0.448848712272953,False
pirl,1,16,1,0.049995697724394404,78,-10.137200145175656,22.027277590776226,1718.1276520805457,27.084443522932812,3,-0.20000000298023224,0.20000000298023224,0.8663116097450256,0.033165283501148224,-0.10000000149011612,0.10000000149011612,0.412436212632946,20.0,6.42801810700702,26.42801810700702,9.583189862567387,-42.537662054136966,465.0966591650856,8.883648543070354,-0.4257916430492072,False
pirl,1,16,1,0.049995697724394404,78,-10.137200145175656,22.027277590776226,1718.1276520805457,27.084443522932812,4,-0.30000001192092896,0.30000001192092896,0.8663116097450256,0.033165283501148224,-0.10000000149011612,0.10000000149011612,0.40371861605807413,20.0,5.981179329117435,25.981179329117435,10.972408282796838,-35.88389581296049,434.0761815406197,10.692299299489603,-0.41685062708539056,False
pirl,1,16,1,0.049995697724394404,78,-10.137200145175656,22.027277590776226,1718.1276520805457,27.084443522932812,5,-0.4000000059604645,0.4000000059604645,0.8663116097450256,0.033165283501148224,-0.08472186326980591,0.10000000149011612,0.39758630915884074,20.0,5.564211764256231,25.564211764256232,12.400391868644437,-29.895506195901646,414.35276464651974,12.418769152183435,-0.41049947912812135,False
pirl,1,16,1,0.049995697724394404,78,-10.137200145175656,22.027277590776226,1718.1276520805457,27.084443522932812,6,-0.4847218692302704,0.5,0.8663116097450256,0.033165283501148224,0.07058402895927429,0.10000000149011612,0.38653686192216874,20.0,5.176134684750005,25.176134684750004,13.863808050412809,-24.505955540548698,404.1222874646319,14.102612016619402,-0.39924733068084545,False
pirl,1,16,1,0.049995697724394404,78,-10.137200145175656,22.027277590776226,1718.1276520805457,27.084443522932812,7,-0.4141378402709961,0.6000000238418579,0.8663116097450256,0.033165283501148224,-0.10000000149011612,0.10000000149011612,0.36646137344306035,20.0,4.815679738879224,24.815679738879226,15.359429402396893,-19.655359950731036,401.84250672305143,15.776955794632116,-0.37901063467525764,False
pirl,1,16,1,0.049995697724394404,78,-10.137200145175656,22.027277590776226,1718.1276520805457,27.084443522932812,8,-0.514137864112854,0.699999988079071,0.8663116097450256,0.033165283501148224,0.016690384596586227,0.10000000149011612,0.3420766160933581,2.3075680039614817,2.906063344808995,5.213631348770477,14.8148278178903,-15.289748524870664,78.6192003962362,16.1045357962831,-0.3447848150514777,False
pirl,1,16,1,0.049995697724394404,78,-10.137200145175656,22.027277590776226,1718.1276520805457,27.084443522932812,9,-0.4974474608898163,0.800000011920929,0.8663116097450256,0.033165283501148224,-0.08757580816745758,0.10000000149011612,0.31847213921855727,20.0,1.3513468721572581,21.351346872157258,12.661087460357882,-11.36084903164529,268.57419701112235,17.223594950496107,-0.3292807394167399,False
pirl,1,16,1,0.049995697724394404,78,-10.137200145175656,22.027277590776226,1718.1276520805457,27.084443522932812,10,-0.5850232839584351,0.9000000357627869,0.8663116097450256,0.033165283501148224,0.0809754878282547,0.10000000149011612,0.29149063399397185,5.24831792709672,2.119847969311632,7.368165896408352,11.908828601924618,-7.824592614755931,79.0882654072843,17.553129389693126,-0.2953033910618869,False
