#{"t_start": 1776691335.6336732, "env_id": null}
r,l,t,is_success,final_distance,tau_sum_total,episode_energy,episode_mean_tau_sum
-113.264076,200,1.265167,0.0,0.5107970562988221,3359.218219971272,19.924637694876058,16.79609109985636
-188.634573,200,1.389688,0.0,0.9570521283574712,3540.1735094201913,20.257694180734912,17.700867547100955
-185.35522,200,1.509245,0.0,0.9855117297059179,3528.747946404836,19.914421360444507,17.64373973202418
-152.029828,200,1.628073,0.0,0.7797642169079362,3395.637379661031,19.306867672567805,16.978186898305154
-116.967715,200,1.747586,0.0,0.578184688544748,3531.6799412060113,20.734835281574355,17.658399706030057
-122.094729,200,1.867175,0.0,0.6312753109680378,3281.5768010716097,19.185039599589608,16.40788400535805
-148.632245,200,1.992702,0.0,0.6914917278977771,3528.6331611074456,20.747420719244143,17.64316580553723
-183.570703,200,2.106235,0.0,0.9517539736432579,3348.2987759491075,19.159485010025065,16.741493879745537
-114.581237,200,2.223725,0.0,0.5653676761290607,3439.1737383991576,20.239330182874692,17.195868691995788
-169.672122,200,2.345312,0.0,0.7873097448058723,3218.5975350473527,19.10764190562772,16.092987675236763
-114.213989,200,2.790359,0.0,0.5714951191746482,3361.1892368595322,20.018573794650028,16.80594618429766
-126.888163,200,2.933873,0.0,0.660522888479797,3223.3163412812214,18.598770093499958,16.11658170640611
-107.987745,200,3.062135,0.0,0.3674652712613693,3363.7458451586813,19.530009864107573,16.818729225793405
-116.502304,200,3.190367,0.0,0.3974663805606145,3027.4860622313126,18.034062378606972,15.137430311156564
-65.419121,200,3.318505,0.0,0.291467771966595,3359.613946897726,19.852501164748485,16.798069734488628
-117.767369,200,3.459849,0.0,0.49542346227442985,3142.9775944437943,17.68517485204451,15.714887972218971
-102.37394,200,3.584378,0.0,0.3322208097573095,3226.2062537562642,19.008623051121567,16.13103126878132
-117.403692,200,3.706903,0.0,0.5641422843074161,3322.1630810663496,19.68926549644292,16.61081540533175
-51.298202,200,3.829862,0.0,0.2460088446192165,3497.437565816706,20.162727403855463,17.48718782908353
-93.525557,200,3.955483,0.0,0.5347372766931038,3283.8724528645425,19.364198377839728,16.419362264322714
-146.9959,200,4.415176,0.0,0.6914770918566139,3459.143847038532,19.46346419448346,17.29571923519266
-101.244172,200,4.561707,0.0,0.49501649153097177,3296.046010920838,19.73465350364857,16.48023005460419
-57.606317,200,4.689295,0.0,0.1975965453609567,3453.0054621254853,20.2232297574478,17.265027310627428
-173.27481,200,4.818388,0.0,0.8492308856844347,3469.0839245516236,20.161977529642563,17.34541962275812
-170.565226,200,4.94269,0.0,0.8184743154738366,3456.842845968695,20.0143831808047,17.284214229843474
-81.499877,200,5.064162,0.0,0.49272122082854003,3514.4782519300147,20.13212811472825,17.572391259650075
-83.88787,200,5.185645,0.0,0.4202308889220965,3551.7605301953668,20.585271606607787,17.758802650976833
-119.642168,200,5.314224,0.0,0.5673773154934536,3295.314994008789,19.176606948967255,16.476574970043945
-104.863468,200,5.439035,0.0,0.4165439953038954,3455.302109801374,20.114137575637137,17.276510549006872
-123.989733,200,5.558095,0.0,0.6739167696405685,3356.7218656985324,19.092118693892708,16.783609328492663
-164.332194,200,5.99085,0.0,0.7939768720326912,3234.547979675477,19.604207918516774,16.172739898377387
-154.699762,200,6.130406,0.0,0.947672781579439,3176.897443266111,18.89760491928272,15.884487216330555
-188.243551,200,6.260401,0.0,0.9654306706139439,2959.208172965128,17.548298857118958,14.79604086482564
-95.78838,200,6.389948,0.0,0.49202690985416997,3209.2082407236207,18.55512456258041,16.046041203618103
-135.356068,200,6.514446,0.0,0.6409452281126694,3416.5259322399384,19.732899418392716,17.082629661199693
-118.576296,200,6.638976,0.0,0.5985634813960354,3516.6672436053045,21.31057916397462,17.583336218026524
-177.39086,200,6.763009,0.0,1.0059875366619755,3331.192143615912,19.76777272494475,16.65596071807956
-72.791212,200,6.886528,0.0,0.37305141148979615,3265.5477647295206,18.581488349867506,16.327738823647604
-54.351354,200,7.01105,0.0,0.4623233605147868,3395.8013556326355,19.502421313074016,16.97900677816318
-132.496268,200,7.133605,0.0,0.49347114746272475,3472.000594258767,19.97686574836352,17.360002971293834
-201.494759,200,7.567008,0.0,0.9628998588558594,3513.5409647552797,20.148416787966617,17.5677048237764
-129.287582,200,7.712151,0.0,0.5993045046064249,3424.6068400739546,19.22121729582988,17.123034200369773
-149.81678,200,7.847691,0.0,0.7015850121352235,3347.0516116268154,19.57887007166991,16.73525805813408
-191.801152,200,7.973369,0.0,0.981573646591946,3213.8032677696424,19.23011999148966,16.06901633884821
-192.609229,200,8.100891,0.0,1.033760534762152,3424.023906811921,20.575476117462546,17.120119534059604
-157.485797,200,8.22443,0.0,0.7684135741768336,3182.7932524010776,18.871849543649958,15.913966262005388
-62.664742,200,8.347565,0.0,0.32275526441398417,3091.0306413141598,18.64279452227334,15.455153206570799
-91.13157,200,8.469631,0.0,0.5441997300237814,3164.285590739,19.240862377527534,15.821427953695
-77.928991,200,8.596125,0.0,0.34544026466778116,3618.519745007741,21.483069172848705,18.092598725038705
-141.428974,200,8.716848,0.0,0.6250383450195092,3186.60448144203,19.774990087634475,15.933022407210151
