#{"t_start": 1774114215.1042671, "env_id": null}
r,l,t,is_success,final_distance
-94.562205,200,1.389097,0.0,0.5072315906973124
-105.755704,200,1.518292,0.0,0.8605553225180532
-122.964024,200,1.637794,0.0,0.07039368900200575
-122.719335,200,1.763219,0.0,0.4105600965836899
-191.248403,200,1.882747,0.0,1.0023465528731368
-131.760363,200,2.008096,0.0,0.6604507720083724
-204.261687,200,2.161146,0.0,1.2117975053982541
-159.198962,200,2.298692,0.0,0.7993160998668624
-190.736233,200,2.445707,0.0,0.8449251938491303
-130.347395,200,2.576759,0.0,0.8500633931559394
-37.345128,93,3.050363,1.0,0.04838330799791783
-205.805367,200,3.222405,0.0,0.682580237960368
-132.039928,200,3.358312,0.0,0.46236907382691883
-332.818754,200,3.497676,0.0,1.840140543951182
-173.851442,200,3.63514,0.0,0.9163760527370897
-131.97271,200,3.760247,0.0,0.4197883148358685
-70.726135,200,3.888273,1.0,0.04647714008372971
-182.602167,200,4.029799,0.0,1.2303631289107628
-144.026267,200,4.159895,0.0,0.7400593053896737
-187.820723,200,4.298727,0.0,1.2001239709093803
-187.549403,200,4.431029,0.0,0.5839130814980781
-188.243353,200,4.913239,0.0,0.3632351998196455
-0.122795,1,4.916238,1.0,0.04265322113002606
-120.721286,200,5.048733,0.0,0.5528764368819553
-177.845835,200,5.176718,0.0,1.474923546815024
-88.346852,136,5.261727,1.0,0.027473245199710023
-155.729203,200,5.390726,0.0,0.7092959382551993
-30.558829,37,5.413727,1.0,0.037494489566392626
-200.313619,200,5.535253,0.0,1.0310205591491104
-74.569761,200,5.655732,0.0,0.4977661655741699
-227.480945,200,5.777779,0.0,1.6359897603858615
-87.012181,115,5.852775,1.0,0.049442561081017154
-212.811647,200,5.987797,0.0,1.3657180376600357
-38.386857,40,6.015802,1.0,0.012460935903117655
-97.858368,200,6.565187,0.0,0.35503483019101123
-207.358563,200,6.709706,0.0,0.8769887070156065
-241.687203,200,6.846239,0.0,1.2783761576349952
-123.338916,200,6.981147,0.0,0.60183296960561
-128.284773,200,7.108676,0.0,0.555879456045249
-148.587717,200,7.228716,0.0,0.7672312799882687
-151.576589,200,7.354268,0.0,0.72631091624615
-208.777247,200,7.475292,0.0,0.5054596696890741
-148.596577,200,7.591815,0.0,0.5860639638355345
-201.027368,200,7.711344,0.0,0.7975420009889874
-138.165945,200,8.174997,0.0,0.8783096435518871
-2.040883,7,8.180995,1.0,0.024641162447672255
-119.919263,200,8.338489,0.0,0.38290009745682535
-114.305508,200,8.461008,0.0,0.3416397777923554
-106.104477,200,8.58499,0.0,0.7259929170226177
-213.316887,200,8.713531,0.0,0.8378932187361692
-96.994601,200,8.841107,0.0,0.6424709291308804
-103.071647,200,8.963617,0.0,0.350408441158466
-124.958497,200,9.084387,0.0,0.24624485820876918
-104.681245,200,9.202065,0.0,0.6068578015659638
