mode,episode,success,final_distance,return,length,mean_tau_l1,tau_l1_sum
pure,1,0,0.09504458066961852,-26.053967028728046,200,2.2942579928435527,458.85159856871053
pure,2,1,0.04954820538568946,-6.542990903302588,45,9.130720593169855,410.8824266926435
pure,3,0,0.10673380798465057,-29.36135788345646,200,2.3918802557536942,478.3760511507389
pure,4,0,0.2278875847762528,-49.29083808912856,200,2.576926369766254,515.3852739532508
pure,5,1,0.046610286276883406,-4.39116594539492,27,17.55846480548684,474.0785497481446
pure,6,1,0.0452266707728574,-4.392222985105,27,17.92221903113029,483.8999138405178
pure,7,0,0.20071531059184142,-43.06680190307394,200,2.098080305165831,419.61606103316626
pure,8,0,0.18039505430562822,-48.01457208392633,200,2.511268271046824,502.2536542093648
pure,9,0,0.32350885059486933,-79.34370880065106,200,3.527537440015623,705.5074880031246
pure,10,0,0.13841687587448886,-30.318124480943805,200,21.259005068999674,4251.8010137999345
pure,11,0,0.1485092600917107,-29.55813414392252,200,20.990178770368452,4198.03575407369
pure,12,0,0.15250232593866714,-34.938579031483506,200,2.2205495422293864,444.1099084458773
pure,13,0,0.14761857826119604,-42.30210691654966,200,2.530294030174835,506.058806034967
pure,14,0,0.39341639941138634,-84.00355587864881,200,3.139352054675461,627.8704109350922
pure,15,1,0.049557969181566915,-7.252602781473274,50,9.005330604340822,450.26653021704107
pure,16,0,0.21265266597149238,-52.32365066156157,200,2.8186715780118807,563.7343156023761
pure,17,1,0.029225799716947436,-0.02936722107970512,1,37.0127029046601,37.0127029046601
pure,18,0,0.13105231053050329,-43.049639183562135,200,2.6365729586541464,527.3145917308293
pure,19,0,0.05082277038837953,-16.345241265120745,200,2.358844733208802,471.7689466417604
pure,20,1,0.049667319351286036,-1.9097115113065526,12,21.503078091226943,258.0369370947233
pure,21,0,0.055786118724101094,-23.54013622162977,200,2.4339356039537456,486.78712079074916
pure,22,1,0.049441763012301056,-3.1261507824314907,23,18.344640458083575,421.9267305359222
pure,23,1,0.04903309023186699,-13.62911496474135,44,19.18773605700508,844.2603865082235
pure,24,0,0.09480540585863112,-30.291788404031696,200,2.454104060759279,490.82081215185576
pure,25,1,0.04986280314348354,-13.489468930377202,51,9.943910415223948,507.1394311764214
pure,26,1,0.04976644825070552,-9.078605197864581,50,8.409703187202785,420.4851593601392
pure,27,0,0.1504535557856286,-29.579457730193152,200,20.926536306857553,4185.30726137151
pure,28,0,0.08067564183598605,-26.938624001777022,200,2.695565839189222,539.1131678378443
pure,29,1,0.048980758512460254,-7.205635390830198,33,13.607878513614999,449.05999094929496
pure,30,1,0.04588248987940797,-8.1605443674154,37,13.131573942937242,485.868235888678
pure,31,0,0.12506457585795067,-32.758576847179064,200,2.99717205721055,599.43441144211
pure,32,1,0.049375578883157474,-5.5187291437249835,24,20.974061245474793,503.37746989139504
pure,33,1,0.0490226253117138,-17.265600441560142,53,8.398048221828981,445.096555756936
pure,34,1,0.047898537478604224,-2.118651022110559,12,24.51956008669774,294.2347210403729
pure,35,1,0.048908138144212424,-1.7472728308335268,19,18.44776659461128,350.50756529761435
pure,36,1,0.046283762211911064,-6.1764857029012505,23,17.19967966267776,395.5926322415885
pure,37,1,0.04417473939192971,-1.7354337170963765,12,17.879201981187148,214.55042377424576
pure,38,1,0.049469394277973915,-6.929358388086971,21,17.07022059897549,358.4746325784853
pure,39,1,0.04864850912895426,-10.489234941184263,36,13.93626470160752,501.7055292578707
pure,40,1,0.04743272863807705,-8.060066197602067,36,15.654477952272657,563.5612062818157
pure,41,1,0.04989896892215438,-16.51626243509154,75,6.932210891688369,519.9158168766277
pure,42,0,0.19013415359167646,-52.64096599533092,200,2.7908116274538837,558.1623254907768
pure,43,1,0.0486105746320517,-4.049093349857287,30,15.205337441447444,456.1601232434233
pure,44,1,0.04721481411514885,-4.90005114615226,26,17.697959172325177,460.1469384804546
pure,45,0,0.20065019492226174,-52.483112376843586,200,3.588809858754681,717.7619717509363
pure,46,0,0.1383872489321137,-35.11884710857777,200,2.5087074930511823,501.7414986102365
pure,47,0,0.20104457720860272,-51.041099189167916,200,2.8365177075575274,567.3035415115055
pure,48,1,0.04968482461259636,-10.238295241217903,39,14.261355546979685,556.1928663322077
pure,49,1,0.0477757160177144,-2.6592563785721715,23,21.06465275542275,484.48701337472323
pure,50,0,0.16748727011754394,-32.94025048323569,200,1.9977759591409536,399.55519182819074
pure,51,1,0.049796705752001034,-6.672543663607757,32,15.789640191075392,505.26848611441255
pure,52,0,0.19734685131360366,-46.093835481986936,200,21.104708454431634,4220.941690886327
pure,53,0,0.1049619961657481,-32.79240843435396,200,2.5767134456684473,515.3426891336894
pure,54,0,0.05032716520611746,-15.747390851579116,200,2.8218237984738295,564.3647596947659
pure,55,0,0.36735826990150466,-77.989186764062,200,2.8180468839090667,563.6093767818134
pure,56,0,0.19479007904786538,-40.16012267780082,200,2.760480137304821,552.0960274609643
pure,57,1,0.04585317254995037,-5.05749023754319,26,15.81789365061909,411.26523491609635
pure,58,1,0.04911636483498201,-3.879447057170012,25,17.961927483419725,449.0481870854931
pure,59,1,0.04668251314420631,-3.5346270501229573,19,18.83722194950862,357.9072170406638
pure,60,1,0.04505464198118726,-2.2196683045783425,16,17.02641504356351,272.42264069701616
pure,61,1,0.0489476794178007,-5.484274892459098,31,13.661057397132419,423.492779311105
pure,62,1,0.04108246163573963,-2.3030375050101664,14,18.696114754097295,261.7456065573621
pure,63,0,0.09407811070618617,-28.3191020164852,200,2.0885183832846024,417.7036766569205
pure,64,0,0.09230052986824402,-33.632201400820605,200,2.6746749017099694,534.9349803419939
pure,65,1,0.04811126409690126,-6.471142191608942,31,18.39420258618829,570.220280171837
pure,66,1,0.04905583884828018,-8.305183727645998,43,8.406177357790662,361.4656263849985
pure,67,0,0.05314332484895584,-25.339594948503628,200,2.640839050807055,528.167810161411
pure,68,0,0.058095135843757036,-21.504980665648787,200,2.5446991079970793,508.93982159941584
pure,69,0,0.06870821072534787,-19.134978627468698,200,2.0343931981882903,406.87863963765807
pure,70,1,0.0483068904747348,-5.198567642258918,36,10.139550557187716,365.0238200587578
pure,71,1,0.047981906566585304,-1.1931540458240797,14,18.68343282679098,261.56805957507373
pure,72,0,0.2286947113570703,-52.53365476861754,200,2.3888621520753266,477.77243041506534
pure,73,1,0.021595951462922414,-0.5503286713402931,5,25.921396841450928,129.60698420725464
pure,74,0,0.38557049015524786,-82.66899167996539,200,2.7297613241652603,545.952264833052
pure,75,0,0.22435752395373876,-45.44294210354646,200,20.813916340724433,4162.783268144886
pure,76,0,0.3207672854142213,-68.62932879869395,200,2.5660295329275704,513.2059065855141
pure,77,0,0.12998956459218203,-36.435721477537356,200,2.6669546350922557,533.3909270184512
pure,78,0,0.3109712802080706,-70.46285185818148,200,2.731471347122359,546.2942694244717
pure,79,1,0.04890233391959742,-1.7702562172944543,13,23.07628561398569,299.991712981814
pure,80,1,0.046306182963030025,-11.458636019774548,31,14.824157776553767,459.54889107316677
pure,81,1,0.04819249396530496,-11.599599462827152,39,14.086185268241602,549.3612254614225
pure,82,0,0.12970547575481953,-29.724402974762807,200,21.027910507982185,4205.582101596437
pure,83,0,0.18299128877513868,-35.51332976014766,200,21.221500564648558,4244.300112929712
pure,84,0,0.06346756865832368,-33.247106207441796,200,1.8001429321218694,360.0285864243739
pure,85,0,0.05736952319777314,-14.130973109426854,200,2.3272275055933984,465.4455011186797
pure,86,1,0.04401299136183526,-5.231025586377543,26,17.677980479031508,459.62749245481916
pure,87,0,0.15860188854053248,-35.514721831191515,200,3.1438694973786934,628.7738994757386
pure,88,1,0.04928654967962831,-11.089684510250665,50,10.782125100692618,539.1062550346309
pure,89,0,0.293337035560362,-66.76131433695217,200,2.5984630112427385,519.6926022485477
pure,90,0,0.1258637015351556,-30.40564748469192,200,2.3684908816328414,473.6981763265683
pure,91,0,0.13344956941414454,-43.230663359436996,200,2.6835560558035776,536.7112111607155
pure,92,1,0.04500972733146458,-3.8570485466900006,29,14.983526396750786,434.5222655057728
pure,93,1,0.04705283834740764,-7.763926372370709,23,19.739737866561654,454.01397093091805
pure,94,0,0.06624824597559956,-20.695216970140695,200,1.885762940014337,377.1525880028674
pure,95,1,0.045457101150632125,-2.949379019640509,25,18.084443194108804,452.1110798527201
pure,96,1,0.04990993432201604,-9.68581614077651,36,13.712266135510355,493.6415808783728
pure,97,0,0.3755351710913578,-85.3174123506895,200,3.214458630248759,642.8917260497518
pure,98,1,0.04572583383375361,-2.769913456297268,23,14.980705110985028,344.55621755265565
pure,99,1,0.049950107523268984,-15.41688425210055,47,8.290972158948025,389.6756914705572
pure,100,1,0.048679090765294995,-19.786997950066688,57,9.57766222228045,545.9267466699856
pirl,1,1,0.04588367643367562,-11.488568136541549,43,17.96258536834633,772.3911708388921
pirl,2,1,0.04983757019461804,-9.149996002900831,62,21.0087974453757,1302.5454416132934
pirl,3,1,0.049041472569121204,-12.508371376224083,48,19.40492891564461,931.4365879509413
pirl,4,1,0.03950385311432746,-8.301401553219646,29,18.67687572955553,541.6293961571104
pirl,5,1,0.04500676266289592,-4.301866342950659,15,19.78241545130203,296.73623176953043
pirl,6,1,0.04941091929064553,-6.259949215349527,34,19.937140446926474,677.8627751955001
pirl,7,1,0.04329717050921197,-8.246090173572302,24,19.1621374476172,459.89129874281286
pirl,8,0,0.2819007172387333,-67.85272817252799,200,20.921719681012515,4184.343936202503
