#{"t_start": 1776691577.9087837, "env_id": null}
r,l,t,is_success,final_distance,tau_sum_total,episode_energy,episode_mean_tau_sum
-114.943685,200,1.267169,0.0,0.5107970562988221,3359.218219971272,19.924637694876058,16.79609109985636
-190.40466,200,1.389697,0.0,0.9570521283574712,3540.1735094201913,20.257694180734912,17.700867547100955
-187.119594,200,1.50597,0.0,0.9855117297059179,3528.747946404836,19.914421360444507,17.64373973202418
-153.727646,200,1.628045,0.0,0.7797642169079362,3395.637379661031,19.306867672567805,16.978186898305154
-118.733555,200,1.748589,0.0,0.578184688544748,3531.6799412060113,20.734835281574355,17.658399706030057
-123.735518,200,1.867107,0.0,0.6312753109680378,3281.5768010716097,19.185039599589608,16.40788400535805
-150.396562,200,1.986788,0.0,0.6914917278977771,3528.6331611074456,20.747420719244143,17.64316580553723
-185.244852,200,2.110838,0.0,0.9517539736432579,3348.2987759491075,19.159485010025065,16.741493879745537
-116.300823,200,2.235354,0.0,0.5653676761290607,3439.1737383991576,20.239330182874692,17.195868691995788
-171.281421,200,2.354491,0.0,0.7873097448058723,3218.5975350473527,19.10764190562772,16.092987675236763
-115.897565,200,2.794053,0.0,0.5715524135165386,3361.1863110609743,20.01879592778053,16.80593155530487
-128.533577,200,2.933568,0.0,0.6608439983608101,3223.3093285923856,18.598297610487187,16.11654664296193
-109.731325,200,3.057083,0.0,0.3681179611823467,3363.570166357454,19.53276684264969,16.817850831787272
-118.054052,200,3.186827,0.0,0.3977823712143859,3028.1460725679112,18.03598185445017,15.140730362839555
-67.1049,200,3.312145,0.0,0.29160489591016187,3359.544375800191,19.853222688858374,16.797721879000957
-119.368734,200,3.452083,0.0,0.49571355635265724,3142.9721235877078,17.686494809818154,15.71486061793854
-104.002042,200,3.591611,0.0,0.33230366889833307,3226.2051728269853,19.008674565740815,16.131025864134926
-119.072534,200,3.71563,0.0,0.564206996118036,3321.8035418591357,19.68721176989598,16.609017709295678
-53.042463,200,3.838336,0.0,0.24597668992019045,3497.2105850795056,20.16220709690997,17.486052925397527
-95.172186,200,3.9613,0.0,0.5347417577598108,3283.822750039297,19.362781777405505,16.419113750196484
-148.712767,200,4.392027,0.0,0.6910997633636402,3459.558121128544,19.464563666100627,17.29779060564272
-102.926349,200,4.534053,0.0,0.495404609639322,3296.067801856839,19.734855392646036,16.480339009284197
-59.20205,200,4.659583,0.0,0.19646108117704186,3452.9243705728904,20.21783822197958,17.26462185286445
-175.011652,200,4.786118,0.0,0.8492490101828446,3469.14251276847,20.163997072439553,17.34571256384235
-172.266151,200,4.907149,0.0,0.8181826620692868,3455.865956817294,20.00768284105113,17.27932978408647
-83.156093,200,5.030613,0.0,0.4916417316544245,3514.8158416076967,20.140397453780103,17.574079208038484
-85.525074,200,5.154176,0.0,0.4182818808787975,3551.966317381099,20.582109558698185,17.759831586905495
-121.316643,200,5.276536,0.0,0.5676534625811839,3295.02374239708,19.173822488718113,16.4751187119854
-106.610146,200,5.401652,0.0,0.41676579376867673,3455.491497759198,20.119027523924544,17.27745748879599
-125.576713,200,5.525366,0.0,0.6730346814477228,3356.0478969866,19.08415245756632,16.780239484933
-165.945522,200,5.94594,0.0,0.7939258138727651,3234.7023618753433,19.605736743614163,16.173511809376716
-156.345332,200,6.091453,0.0,0.9480494778640306,3175.9610101655226,18.891123658007174,15.879805050827613
-189.728596,200,6.220419,0.0,0.9654853570662615,2959.097610442311,17.548314542174253,14.795488052211557
-97.447713,200,6.346942,0.0,0.4925297402222176,3209.334077605126,18.553841529365172,16.04667038802563
-136.91062,200,6.473465,0.0,0.6395286153414049,3418.502221217255,19.740920282894248,17.092511106086274
-120.33554,200,6.596535,0.0,0.5985492677291689,3516.692081588955,21.311067990076058,17.583460407944774
-179.046901,200,6.728049,0.0,1.0058787602479238,3331.2493944189073,19.768448176599453,16.656246972094536
-74.753394,200,6.8579,0.0,0.3756168931391046,3268.079507311366,18.59373117388017,16.34039753655683
-56.272267,200,6.989062,0.0,0.4645291350638224,3393.215117271669,19.464937850493794,16.966075586358343
-134.030351,200,7.105262,0.0,0.49221624285766735,3471.912383059125,19.999285776061605,17.359561915295625
-203.209556,200,7.511862,0.0,0.9623870957958088,3513.657774130907,20.152816798781142,17.568288870654534
-130.67703,200,7.660274,0.0,0.5961188712377151,3424.5699127014163,19.174829367587684,17.12284956350708
-151.378769,200,7.789734,0.0,0.7007219428790128,3348.4711042714034,19.590628468148573,16.742355521357016
-193.463937,200,7.913793,0.0,0.9819828223920422,3213.7174238577118,19.22796128388699,16.06858711928856
-194.264177,200,8.042318,0.0,1.03223869240992,3421.663738091765,20.54655782242643,17.108318690458827
-159.125723,200,8.169895,0.0,0.7689399062197039,3183.0073074508173,18.869833194950935,15.915036537254087
-64.261367,200,8.295926,0.0,0.32356765879773414,3085.94431187408,18.601404316458087,15.4297215593704
-92.816971,200,8.419084,0.0,0.54540667988543,3157.861864399159,19.208266193607376,15.789309321995795
-79.649941,200,8.546606,0.0,0.34560046839766145,3622.3510968209516,21.539569774913947,18.11175548410476
-142.78809,200,8.664157,0.0,0.6224335036329861,3187.0062007752144,19.743426657245642,15.935031003876071
-155.681652,200,8.788693,0.0,0.8167742846608765,3339.14603065917,19.232977441044802,16.695730153295848
-130.418338,200,9.242713,0.0,0.7003112173474886,3185.736494791376,18.77664588348344,15.928682473956881
-58.946181,200,9.379221,0.0,0.2240297669471849,3390.435889314014,19.642291841585678,16.95217944657007
-93.175483,200,9.505288,0.0,0.3082995295703051,3247.206331169004,19.262243515011928,16.23603165584502
-52.993694,200,9.626495,0.0,0.13284018129146816,3425.068616898438,19.54392540494758,17.12534308449219
-114.276922,200,9.752918,0.0,0.73402336961016,3425.6491543525667,19.195466491423716,17.128245771762835
-129.092028,200,9.876848,0.0,0.6301892655519397,3273.8686581959437,19.947909507648326,16.369343290979717
-162.886694,200,10.003475,0.0,0.8127728476096222,3642.7394441561173,21.137076053298575,18.21369722078059
-171.517517,200,10.126996,0.0,0.8750140642273774,3283.7146003404187,19.534422381975222,16.418573001702093
-155.47106,200,10.247518,0.0,0.8833048820051613,3409.6198159389714,19.61206264713548,17.048099079694857
-107.81859,200,10.370033,0.0,0.5924664133805858,3545.0956814110264,20.609018939374533,17.72547840705513
-148.328451,200,10.791174,0.0,0.6737094958846088,3329.5916751634695,18.911360295622956,16.647958375817346
-140.598515,200,10.938246,0.0,0.5304895618375858,3314.269785171114,19.3629389649218,16.57134892585557
-169.133174,200,11.062767,0.0,0.8379385372764622,3599.7015149028484,20.41458474459873,17.998507574514242
-99.65981,200,11.195249,0.0,0.4768742280489928,3419.35030430841,20.31009099554197,17.09675152154205
-165.765752,200,11.329369,0.0,0.8201199583303593,3172.509924766583,19.201111550898293,15.862549623832916
-113.647297,200,11.460929,0.0,0.5764698214762136,3387.4246604299055,19.931284123197837,16.937123302149526
-112.229498,200,11.591463,0.0,0.6759415086559457,3226.8916725783884,18.350607538557774,16.13445836289194
-133.529577,200,11.720773,0.0,0.5863333475321642,3342.6990748130493,19.341594683437755,16.713495374065246
-144.74365,200,11.849332,0.0,0.6076647680966669,3443.2037149687767,20.031651237797046,17.216018574843883
-160.421878,200,11.989843,0.0,0.8353805966491457,3026.3371721853146,18.158913646316844,15.131685860926574
-69.143618,200,12.511911,0.0,0.25415722308604805,3442.057031415587,19.935299721387494,17.210285157077934
-158.288817,200,12.686441,0.0,0.8076037846823912,3353.4757188369463,19.786898221973402,16.76737859418473
-163.251911,200,12.81747,0.0,0.8687708459556246,3323.5916925098827,19.19701672623926,16.617958462549414
-118.746651,200,12.952997,0.0,0.512615838466745,3398.480422822572,18.99162228435777,16.99240211411286
-93.675674,200,13.077516,0.0,0.4986284532131315,3200.173023686292,18.87049757417237,16.00086511843146
-104.208387,200,13.200147,0.0,0.6667315738096018,3260.890693894072,19.787873917690536,16.30445346947036
-122.2616,200,13.321673,0.0,0.6075200697995461,3355.2109896224592,19.490906886402758,16.776054948112296
-158.152146,200,13.447196,0.0,0.7924968522255934,3515.533362440163,20.110520419876345,17.577666812200814
-49.03914,161,13.545666,1.0,0.045547924980665296,2585.9110598859197,15.635308883072438,16.061559378173413
-100.700765,200,13.662198,0.0,0.46276817009513643,3515.950182756789,20.13892965002033,17.579750913783947
-62.460309,200,13.783711,0.0,0.2393877317412414,3615.9513011675676,20.013442073744397,18.07975650583784
-131.871095,200,14.293575,0.0,0.6266427127409864,3262.6018738018056,19.745806119143168,16.313009369009027
-175.064957,200,14.438111,0.0,0.8237714325132951,3293.27220309208,18.91066107438559,16.4663610154604
-159.158783,200,14.575288,0.0,0.7365189928853414,3561.4444927258733,20.645772108423078,17.807222463629365
-130.578993,200,14.70232,0.0,0.5889005823024267,3372.2008416048493,20.009627666088324,16.861004208024248
-68.576311,200,14.828884,0.0,0.44986241183545356,3590.088312894433,20.767984950042575,17.950441564472165
-117.921323,200,14.95342,0.0,0.4679111490910578,3273.6790297073003,19.21073043304005,16.3683951485365
-146.413276,200,15.078935,0.0,0.7195893474247328,3213.018712977214,18.972011816545123,16.06509356488607
-68.876944,200,15.201963,0.0,0.21502191515756694,3623.576760231106,21.558102376435052,18.117883801155532
-160.309284,200,15.324485,0.0,0.6970861628667098,3532.9559580933383,20.688969337756816,17.664779790466692
-129.592437,200,15.445963,0.0,0.542699721104038,3401.750217837248,20.62677748344158,17.00875108918624
-89.860192,200,15.879676,0.0,0.3239833262790838,3364.8167463125737,19.05252940262266,16.82408373156287
-79.758508,200,16.016247,0.0,0.4420020912435182,3605.794909004011,20.62487721305912,18.028974545020056
-61.432803,200,16.141767,0.0,0.3676599132469932,3619.0228819128383,21.25050062256935,18.095114409564193
-78.184286,200,16.270978,0.0,0.24069285265796825,3424.0169202807733,20.873985328615465,17.120084601403867
-64.6082,200,16.395493,0.0,0.39380589113791686,3428.7535247354194,19.849529012586764,17.143767623677096
-138.890489,200,16.526934,0.0,0.4846835232380291,3453.2556722498375,19.27524653669116,17.26627836124919
-118.232325,200,16.659089,0.0,0.6019248907354899,3257.6064385000277,18.607382856352814,16.28803219250014
-47.155704,200,16.780658,0.0,0.15006989943430787,3204.4983220342538,19.880953588697917,16.02249161017127
-152.470401,200,16.901666,0.0,0.7151550089442045,3115.2336190019396,18.58480440571033,15.576168095009699
-133.906916,200,17.023241,0.0,0.6565417268713695,3314.1811968536003,19.536349778075053,16.570905984268002
-97.335696,200,17.466655,0.0,0.6737821549892165,3428.6899557141096,20.251474714967763,17.14344977857055
-108.291418,200,17.602175,0.0,0.41180764866056374,2987.2437710685294,18.359229331644784,14.936218855342647
-86.441088,200,17.729106,0.0,0.15862249354616265,3222.549595227158,18.976425945577176,16.11274797613579
-46.976446,156,17.824789,1.0,0.04608660414405767,2648.783131791092,16.29762251065194,16.979379049942896
-79.363996,200,17.951329,0.0,0.09443404166936811,3188.503898799698,18.703800058631913,15.94251949399849
-132.418351,200,18.073692,0.0,0.5874089681757911,3305.686138200525,20.194270423554173,16.528430691002626
-87.143844,200,18.197972,0.0,0.4180741930535572,3567.5613675699474,20.287982812238287,17.837806837849737
-98.787667,200,18.32103,0.0,0.46167751166546306,3362.4809135824407,19.925361606424794,16.812404567912203
-82.916777,200,18.443596,0.0,0.44141314507808277,3259.143217742726,19.430257566407242,16.29571608871363
-157.387897,200,18.566124,0.0,0.6112052787281949,3198.2891116934684,19.182312982827295,15.991445558467342
-184.682952,200,18.687209,0.0,0.8929649765933532,3385.2438949975685,20.097654344458608,16.926219474987843
-71.384303,200,19.127362,0.0,0.24112383385855737,3315.2756449881517,18.501628762933876,16.576378224940758
-59.023165,200,19.263891,0.0,0.31825264721652274,3416.8357643656764,19.96820983675657,17.08417882182838
-92.515028,200,19.386441,0.0,0.36863236102528385,3206.0683669032815,18.837379922666052,16.030341834516406
-97.93437,200,19.512477,0.0,0.4040280682201998,3359.087711689453,19.567802125330697,16.795438558447266
-148.290397,200,19.638002,0.0,0.7357661559112125,3269.086330499053,19.060164867526495,16.345431652495265
-166.171495,200,19.761938,0.0,0.7127507976737412,3260.3039928837875,19.34618249581295,16.301519964418937
