mode,success_rate_mean,final_distance_mean,final_distance_std,length_mean,length_std,return_mean,return_std,n_episodes
RL puro,0.442,0.17826779944879506,0.21787036366199136,124.974,84.83461054482767,-36.83622478559194,39.29544988063076,500
PIRL (PI-reward),0.554,0.09574158991063425,0.08155783093503394,106.64,84.50299350806247,-23.088240135043602,19.95252422096881,500
