Modo,Sucesso,Distância final (m),Duração (passos),Retorno
RL puro,0.5,0.1073 ± 0.0903,115.20 ± 85.84,-23.99 ± 22.10
PIRL (PI-reward),0.57,0.0914 ± 0.0773,104.41 ± 84.24,-22.13 ± 19.00
