#{"t_start": 1774119200.1689138, "env_id": null}
r,l,t,is_success,final_distance
-180.065127,200,1.326108,0.0,1.2402480967351681
-183.044734,200,1.449749,0.0,0.5498873969080539
-119.908173,200,1.578158,0.0,0.5114082243590271
-151.402742,200,1.70771,0.0,0.8707913596283778
-133.761018,200,1.832239,0.0,0.7935947903783689
-106.909337,200,1.942268,0.0,0.713855952097529
-140.834755,200,2.069109,0.0,0.3127108313839697
-181.104201,200,2.240662,0.0,0.8674937252251195
-67.65884,200,2.397189,0.0,0.5342028183732394
-201.512431,200,2.543328,0.0,1.3278539023209985
-171.154329,200,3.156102,0.0,0.2861593151490384
-143.184341,200,3.337208,0.0,1.232578028462574
-139.274851,200,3.464298,0.0,0.7933046870844254
-17.306467,51,3.496888,1.0,0.04810111020414189
-73.067997,200,3.628163,0.0,0.34681982666135475
-192.98524,200,3.751185,0.0,0.6060308663887937
-22.854251,71,3.793185,1.0,0.04298448490980739
-43.69628,123,3.874706,1.0,0.046172600756720604
-80.978803,200,4.005234,0.0,0.5031800126976715
-172.798324,200,4.134061,0.0,0.8610666768012506
-124.405488,200,4.271587,0.0,0.5506278874562773
-73.155241,200,4.399118,0.0,0.3211819671599956
-129.689982,200,4.890201,0.0,0.5912926982753024
-183.668251,200,5.036734,0.0,0.8742452844685412
-89.274017,200,5.172965,0.0,0.43032880729751777
-83.280557,200,5.301494,0.0,0.6556074939444458
-82.205225,200,5.430195,0.0,0.47851818165898574
-105.402989,200,5.553505,0.0,0.502236546553898
-143.08109,200,5.689035,0.0,0.6515189723424084
-154.624215,200,5.807549,0.0,0.6785238400052849
-166.693972,200,5.934282,0.0,0.9821000319038992
-89.239874,200,6.068341,0.0,0.11004221642966547
-88.172486,200,6.596994,0.0,0.8306636552502276
-132.9378,200,6.771045,0.0,0.34933505252199865
-74.81632,200,6.928575,0.0,0.3364029038079255
-84.688813,200,7.06561,0.0,0.30998108437265554
-98.248437,200,7.223134,0.0,0.6030584770813854
-84.847699,200,7.369179,0.0,0.22841580434305492
-123.280171,200,7.515705,0.0,0.7715539475125711
-46.798406,100,7.592224,1.0,0.04580901186661543
-38.379074,63,7.648744,1.0,0.047272292935568686
-88.081916,195,7.814268,1.0,0.04955532330913431
-73.357346,200,7.971328,0.0,0.24846883079986856
-86.110073,200,8.62097,0.0,0.582964391480637
-125.358429,200,8.796819,0.0,0.38934690437356023
-110.774151,200,8.948869,0.0,0.1570391575823489
-87.763626,200,9.087388,0.0,0.3847642953911678
-130.646028,200,9.235921,0.0,0.7400079730644232
-139.126412,200,9.369888,0.0,0.06837788348694347
-118.440324,200,9.504414,0.0,0.4144053983189153
-83.163724,200,9.640955,0.0,0.3369181739717036
-25.87589,46,9.675498,1.0,0.04825550836699365
-78.758989,170,9.799071,1.0,0.043105048183885046
-81.23649,200,9.939594,0.0,0.6967311149566756
-89.641056,200,10.074515,0.0,0.633168366370219
-81.401628,200,10.647635,0.0,0.4055267550676641
-121.167771,200,10.798676,0.0,0.7390139953959998
-114.854079,200,10.932213,0.0,0.8571940560523712
-79.828542,200,11.062274,0.0,0.38231034202620845
-80.731792,200,11.183841,0.0,0.6147712873389364
-108.786088,200,11.303994,0.0,0.7539166435065167
-123.521861,200,11.425521,0.0,0.7067482673061807
-101.111586,200,11.547582,0.0,0.25719139404712327
-115.824062,200,11.67011,0.0,0.6985469166787428
-99.748499,200,11.801583,0.0,0.6979484889977435
-84.581529,200,12.393702,0.0,0.47140268878874353
-19.64421,27,12.424702,1.0,0.032886142591608804
-90.670982,200,12.59176,0.0,0.5024948648400086
-86.51511,200,12.744298,0.0,0.7553829850591995
-124.406363,200,12.887952,0.0,0.8020012532374879
-101.435482,200,13.033485,0.0,0.34190420171907077
-127.573218,200,13.173122,0.0,0.8748104243154925
-109.457479,200,13.328636,0.0,0.43136749749167164
-96.784766,200,13.486679,0.0,0.4115794365395774
-90.947581,200,13.649734,0.0,0.6764319257524056
-117.055912,200,13.823267,0.0,0.7629587857996856
-63.807253,121,14.410689,1.0,0.04073620388599147
-93.887829,200,14.612733,0.0,0.7010777957101784
-45.359217,103,14.680258,1.0,0.03425986006638723
-0.020619,1,14.682258,1.0,0.020478042866118224
-110.59629,200,14.825779,0.0,0.6586283458896363
-136.178864,200,14.961835,0.0,0.7650869317024359
-35.153606,88,15.021832,1.0,0.042587219688757276
-13.733746,48,15.05535,1.0,0.0385824450583673
-103.241187,200,15.184495,0.0,0.7276351372301589
-24.809068,50,15.2135,1.0,0.02252964150278052
-95.380351,200,15.342019,0.0,0.5465501182059164
-17.225227,23,15.357533,1.0,0.035593893812256736
-75.953683,200,15.489015,0.0,0.5601889310179161
-72.882915,200,15.617536,0.0,0.3469091806235222
-117.951951,200,15.744061,0.0,0.8615859363016621
-76.888287,153,16.156901,1.0,0.046957827194130025
-14.84923,54,16.195902,1.0,0.04477082037431422
-105.935563,200,16.365942,0.0,0.5251603305942818
-82.174763,200,16.505471,0.0,0.7293469362716141
-104.280391,200,16.641001,0.0,0.5171870771545757
-114.292375,200,16.783072,0.0,0.7451253395344709
-29.21979,55,16.819641,1.0,0.043537467290249335
-101.514834,200,16.942771,0.0,0.5968794976925835
-71.293794,200,17.078804,0.0,0.3356543728166464
-106.062449,200,17.210324,0.0,0.47558268593222613
-125.096713,200,17.341849,0.0,0.72821458157213
-96.186704,200,17.470885,0.0,0.7325174730573003
-104.354585,200,18.047028,0.0,0.7525378313754496
-77.781989,200,18.191544,0.0,0.691341289466148
-116.245099,200,18.314071,0.0,0.41560122603379324
-130.918338,200,18.440614,0.0,0.40604124257816443
-142.062253,200,18.561583,0.0,0.778898594372101
-107.150452,200,18.685105,0.0,0.4337492306197386
-86.904043,200,18.805639,0.0,0.3115395515713887
-95.11221,200,18.932887,0.0,0.28718215679009157
-87.663751,200,19.068914,0.0,0.51179703903973
-11.937351,20,19.087917,1.0,0.028881935657897397
-21.695763,68,19.133007,1.0,0.04296791123378309
-37.48079,84,19.195285,1.0,0.03924499235349149
-105.244273,200,19.705929,0.0,0.5787841789864857
-46.126191,112,19.793454,1.0,0.03089676190031545
-85.707478,200,19.936976,0.0,0.5447995060551137
-55.767972,168,20.038499,1.0,0.049344816163672554
-64.665955,200,20.161529,0.0,0.2538668050593263
-118.07278,200,20.281061,0.0,0.5463442971216157
-90.784618,200,20.401583,0.0,0.2890574600174962
-1.281309,6,20.405583,1.0,0.012663817972875585
-63.124995,200,20.518867,0.0,0.24086970956128834
-30.571649,62,20.554395,1.0,0.0392443335334792
-51.181005,113,20.62139,1.0,0.04999493800054456
-113.811784,200,20.738698,0.0,0.2718101775524447
-90.976791,200,20.857722,0.0,0.44546306948556874
-98.129413,200,21.387326,0.0,0.3255066507999978
-11.801189,36,21.422326,1.0,0.04348926469938201
-99.605125,200,21.581345,0.0,0.7973050638885822
-98.894006,200,21.736889,0.0,0.5292380460806081
-62.182376,148,21.843417,1.0,0.03395591063665037
-86.813991,200,22.003464,0.0,0.06894085608203049
-116.566022,200,22.140005,0.0,0.7855082713382667
-83.088329,200,22.285754,0.0,0.625083500217582
-85.506489,200,22.439571,0.0,0.4677365757393703
-92.450633,200,22.580194,0.0,0.554252155195459
-74.602061,200,22.715718,0.0,0.3833174673838393
-76.860932,200,22.848248,0.0,0.3698739630310185
-93.579374,200,23.384478,0.0,0.7924390063760118
