#{"t_start": 1776691094.4284482, "env_id": null}
r,l,t,is_success,final_distance,tau_sum_total,episode_energy,episode_mean_tau_sum
-101.168296,200,1.247225,0.0,0.4296386633108572,3341.057618856663,20.471151858418686,16.705288094283315
-85.111313,200,1.368808,0.0,0.4270404675429837,3246.7422982473513,19.55391776380606,16.233711491236757
-119.916379,200,1.487931,0.0,0.5764108187479029,3530.4401854375615,20.422913209174137,17.652200927187806
-117.807422,200,1.610115,0.0,0.5880288987520448,3315.563575612509,18.84875064844603,16.577817878062543
-45.26286,200,1.730659,0.0,0.2724509790846617,3491.8096587475297,20.320428121910194,17.45904829373765
-58.968015,200,1.845366,0.0,0.26656494713098083,3601.894205280245,20.28380509577597,18.009471026401226
-135.084273,200,1.964842,0.0,0.6389728797077256,3388.614031073532,18.83273091385562,16.94307015536766
-189.540155,200,2.081362,0.0,0.9222716327251809,3420.576698478946,19.707370039090407,17.10288349239473
-189.017632,200,2.197843,0.0,0.952846302301833,3667.6746368120903,20.613579642541364,18.33837318406045
-73.936182,200,2.314362,0.0,0.31229470231041434,3521.987673253338,20.16473148455808,17.60993836626669
-64.625007,200,2.730173,0.0,0.3504166647911131,3518.471160217469,20.678849407101776,17.592355801087344
-84.687111,200,2.86924,0.0,0.3458710255359679,3631.4509303168466,20.199059206320285,18.157254651584232
-106.013377,200,2.994783,0.0,0.3761347484889245,3101.9054802715796,18.990744332488717,15.509527401357898
-126.341257,200,3.115278,0.0,0.6106982223527879,3476.3911499176043,19.686846099966758,17.38195574958802
-157.073443,200,3.242306,0.0,0.7156274185971389,3413.0991768141907,20.32618254618919,17.065495884070955
-111.630737,200,3.369427,0.0,0.6001699310640213,3514.333554666679,19.946844200642317,17.571667773333395
-46.28972,200,3.509943,0.0,0.20138069741293171,3226.5928659936462,18.828440241016068,16.13296432996823
-170.192302,200,3.636977,0.0,0.8331020278297253,3432.8771424280453,19.33147817179573,17.164385712140227
-171.20578,200,3.75947,0.0,0.8565369958310203,3478.4455127135298,20.047295759540113,17.392227563567648
-41.148833,200,3.883258,0.0,0.18105360209404675,3400.4252115136055,19.967798058895205,17.002126057568027
-164.687284,200,4.327937,0.0,0.7277733383232594,3261.1079250503262,19.910933030597747,16.30553962525163
-113.135884,200,4.476954,0.0,0.5638152371909275,3680.461426203274,21.162362394417457,18.40230713101637
