exp_id,control,use_pi_reward,pi_metric,alpha_pi,safety_filter,n_train_seeds,success_rate__mean,success_rate__std,success_rate__ci95,mean_final_distance__mean,mean_final_distance__std,mean_final_distance__ci95,mean_return__mean,mean_return__std,mean_return__ci95,mean_ep_len__mean,mean_ep_len__std,mean_ep_len__ci95,mean_tau_l1__mean,mean_tau_l1__std,mean_tau_l1__ci95,mean_pi_value__mean,mean_pi_value__std,mean_pi_value__ci95,mean_filter_intervention_rate__mean,mean_filter_intervention_rate__std,mean_filter_intervention_rate__ci95,mean_filter_delta_tau_norm__mean,mean_filter_delta_tau_norm__std,mean_filter_delta_tau_norm__ci95,mean_d0__mean,mean_d0__std,mean_d0__ci95,mean_r_dist__mean,mean_r_dist__std,mean_r_dist__ci95,mean_r_act__mean,mean_r_act__std,mean_r_act__ci95,mean_r_pi__mean,mean_r_pi__std,mean_r_pi__ci95,sum_r_dist__mean,sum_r_dist__std,sum_r_dist__ci95,sum_r_act__mean,sum_r_act__std,sum_r_act__ci95,sum_r_pi__mean,sum_r_pi__std,sum_r_pi__ci95
ctrl-residual__pi-0-tau_l1-a0.0005__sf-none-dt2-qm0.15__pd-kp10-kd1-elauto__tau20-lama0.001__a2-m0.02-md0.07-phi-1.5708_1.5708__h200,residual,0,tau_l1,0.0,none,5,0.952,0.02970690155502589,0.02603924730094938,0.048219911318544265,0.0031692764218860525,0.00277799326737921,-13.754037919340366,0.694773845600224,0.6089961267184092,41.160000000000004,4.5186530072578055,3.960773994057223,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7843683416229866,0.0,0.0,-0.37432038295401326,0.001328942204759575,0.0011648692023402548,-0.00257007202522643,0.00021566095761594477,0.00018903516403820576,0.0,0.0,0.0,-13.668747662996974,0.6956410513201006,0.6097562660469366,-0.08529025634339168,0.004474086411288019,0.0039217096503164515,0.0,0.0,0.0
ctrl-direct__pi-0-tau_l1-a0.0005__sf-none-dt2-qm0.15__tau20-lama0.001__a2-m0.02-md0.07-phi-1.5708_1.5708__h200,direct,0,tau_l1,0.0,none,5,0.42300000000000004,0.12877305618800852,0.1128745604642605,0.36428208639563203,0.0959448087938604,0.08409933290410625,-77.36775842088895,14.182132164257304,12.431186941384892,150.083,12.225376579067003,10.71601504788044,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7843683416229866,0.0,0.0,-0.48786900038636033,0.04504276598253976,0.03948172515957701,-0.0009966376755066533,0.0003050737875639445,0.0002674089650413535,0.0,0.0,0.0,-77.23109946915295,14.208491665114156,12.454292062606296,-0.1366589517359839,0.03425017173709406,0.03002159920011227,0.0,0.0,0.0
ctrl-direct__pi-1-tau_l1-a0.0005__sf-none-dt2-qm0.15__tau20-lama0.001__a2-m0.02-md0.07-phi-1.5708_1.5708__h200,direct,1,tau_l1,0.0005,none,5,0.42300000000000004,0.12877305618800852,0.1128745604642605,0.36428208639563203,0.0959448087938604,0.08409933290410625,-77.36775842088895,14.182132164257304,12.431186941384892,150.083,12.225376579067003,10.71601504788044,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7843683416229866,0.0,0.0,-0.48786900038636033,0.04504276598253976,0.03948172515957701,-0.0009966376755066533,0.0003050737875639445,0.0002674089650413535,0.0,0.0,0.0,-77.23109946915295,14.208491665114156,12.454292062606296,-0.1366589517359839,0.03425017173709406,0.03002159920011227,0.0,0.0,0.0
ctrl-direct__pi-0-tau_l1-a0.0005__sf-proj_box_jointlimit-dt2-qm0.15__tau20-lama0.001__a2-m0.02-md0.07-phi-1.5708_1.5708__h200,direct,0,tau_l1,0.0,proj_box_jointlimit,5,0.30500000000000005,0.13148193792304705,0.11524899999566154,0.39965123054842905,0.15370096962167654,0.13472483998242593,-87.68506131321391,19.40156930931791,17.006225315556925,162.347,13.551680984291208,11.87857211698443,0.0,0.0,0.0,0.0,0.0,0.0,0.20820797402172522,0.29407846761173106,0.25777114216513,0.34129997493323294,0.5898680699609011,0.5170421600581572,0.7843683416229866,0.0,0.0,-0.5179347553731277,0.07267631987947892,0.0637036031091734,-0.0008296005781086252,0.00017454259559554594,0.00015299333061859126,0.0,0.0,0.0,-87.56248088515039,19.408821058680054,17.01258175413251,-0.12258042806350852,0.02090764070462249,0.018326355098953574,0.0,0.0,0.0
