exp_id,train_seed,eval_seed_base,episodes,source_file,success_rate,mean_final_distance,std_final_distance_ep,mean_return,std_return_ep,mean_ep_len,std_ep_len_ep,mean_d0,std_d0_ep,mean_tau_l1,std_tau_l1_ep,mean_pi_value,std_pi_value_ep,mean_filter_intervention_rate,std_filter_intervention_rate_ep,mean_filter_delta_tau_norm,std_filter_delta_tau_norm_ep,mean_r_dist,mean_r_act,mean_r_pi,sum_r_dist,sum_r_act,sum_r_pi,control,use_pi_reward,pi_metric,alpha_pi,safety_filter
ctrl-direct__pi-1-tau_l1-a0.0005__sf-none-dt2-qm0.15__tau20-lama0.001__a2-m0.02-md0.07-phi-1.5708_1.5708__h200,0,1000,200,eval__ctrl-direct__pi-1-tau_l1-a0.0005__sf-none-dt2-qm0.15__tau20-lama0.001__a2-m0.02-md0.07-phi-1.5708_1.5708__h200__trainseed0__evalbase1000.csv,0.435,0.36249775944710794,0.36116133696458425,-76.22285880772293,41.222605890545736,154.315,66.94575749990571,0.7843683416229866,0.28918246245742785,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.47279950595079534,-0.000772899261551023,0.0,-76.11604929523354,-0.10680951248940002,0.0,direct,1,tau_l1,0.0005,none
ctrl-direct__pi-1-tau_l1-a0.0005__sf-none-dt2-qm0.15__tau20-lama0.001__a2-m0.02-md0.07-phi-1.5708_1.5708__h200,1,1000,200,eval__ctrl-direct__pi-1-tau_l1-a0.0005__sf-none-dt2-qm0.15__tau20-lama0.001__a2-m0.02-md0.07-phi-1.5708_1.5708__h200__trainseed1__evalbase1000.csv,0.525,0.30089271158115116,0.31747658855185446,-68.81416699746082,36.171419775187374,142.24,63.188498412751436,0.7843683416229866,0.28918246245742785,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.4623975217036738,-0.0011714518422462883,0.0,-68.65055636102437,-0.16361063643644616,0.0,direct,1,tau_l1,0.0005,none
ctrl-direct__pi-1-tau_l1-a0.0005__sf-none-dt2-qm0.15__tau20-lama0.001__a2-m0.02-md0.07-phi-1.5708_1.5708__h200,2,1000,200,eval__ctrl-direct__pi-1-tau_l1-a0.0005__sf-none-dt2-qm0.15__tau20-lama0.001__a2-m0.02-md0.07-phi-1.5708_1.5708__h200__trainseed2__evalbase1000.csv,0.47,0.30723177891432324,0.30042006025270873,-70.53966413923852,40.96774397885661,142.945,70.66199517996976,0.7843683416229866,0.28918246245742785,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.4763156165878935,-0.0013438720276121863,0.0,-70.36514353963238,-0.174520599606128,0.0,direct,1,tau_l1,0.0005,none
ctrl-direct__pi-1-tau_l1-a0.0005__sf-none-dt2-qm0.15__tau20-lama0.001__a2-m0.02-md0.07-phi-1.5708_1.5708__h200,3,1000,200,eval__ctrl-direct__pi-1-tau_l1-a0.0005__sf-none-dt2-qm0.15__tau20-lama0.001__a2-m0.02-md0.07-phi-1.5708_1.5708__h200__trainseed3__evalbase1000.csv,0.485,0.32033187879488056,0.30417323626399984,-69.09518268922265,41.1274853915434,141.145,70.10060233147915,0.7843683416229866,0.28918246245742785,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.46030122993992534,-0.0010990726050170844,0.0,-68.95331016226746,-0.1418725269552109,0.0,direct,1,tau_l1,0.0005,none
ctrl-direct__pi-1-tau_l1-a0.0005__sf-none-dt2-qm0.15__tau20-lama0.001__a2-m0.02-md0.07-phi-1.5708_1.5708__h200,4,1000,200,eval__ctrl-direct__pi-1-tau_l1-a0.0005__sf-none-dt2-qm0.15__tau20-lama0.001__a2-m0.02-md0.07-phi-1.5708_1.5708__h200__trainseed4__evalbase1000.csv,0.2,0.5304563032406971,0.32168696657627327,-102.16691947079977,52.25774671354106,169.77,62.55407389454359,0.7843683416229866,0.28918246245742785,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.5675311277495138,-0.0005958926411066837,0.0,-102.07043798760704,-0.09648148319273457,0.0,direct,1,tau_l1,0.0005,none
ctrl-residual__pi-0-tau_l1-a0.0005__sf-none-dt2-qm0.15__pd-kp10-kd1-elauto__tau20-lama0.001__a2-m0.02-md0.07-phi-1.5708_1.5708__h200,0,1000,200,eval__ctrl-residual__pi-0-tau_l1-a0.0005__sf-none-dt2-qm0.15__pd-kp10-kd1-elauto__tau20-lama0.001__a2-m0.02-md0.07-phi-1.5708_1.5708__h200__trainseed0__evalbase1000.csv,0.945,0.04965322732392402,0.028736804580887468,-13.466568315094191,6.868264291865062,40.885,39.429878921432085,0.7843683416229866,0.28918246245742785,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.374254035105598,-0.0027162523824942365,0.0,-13.378774290997466,-0.08779402409672425,0.0,residual,0,tau_l1,0.0,none
ctrl-residual__pi-0-tau_l1-a0.0005__sf-none-dt2-qm0.15__pd-kp10-kd1-elauto__tau20-lama0.001__a2-m0.02-md0.07-phi-1.5708_1.5708__h200,1,1000,200,eval__ctrl-residual__pi-0-tau_l1-a0.0005__sf-none-dt2-qm0.15__pd-kp10-kd1-elauto__tau20-lama0.001__a2-m0.02-md0.07-phi-1.5708_1.5708__h200__trainseed1__evalbase1000.csv,0.94,0.05084624448143261,0.03280953026025024,-14.79592717247481,7.184126949786872,44.88,40.199572487039006,0.7843683416229866,0.28918246245742785,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.37212098372545627,-0.0022616470905505175,0.0,-14.716013841517102,-0.07991333095770863,0.0,residual,0,tau_l1,0.0,none
ctrl-residual__pi-0-tau_l1-a0.0005__sf-none-dt2-qm0.15__pd-kp10-kd1-elauto__tau20-lama0.001__a2-m0.02-md0.07-phi-1.5708_1.5708__h200,2,1000,200,eval__ctrl-residual__pi-0-tau_l1-a0.0005__sf-none-dt2-qm0.15__pd-kp10-kd1-elauto__tau20-lama0.001__a2-m0.02-md0.07-phi-1.5708_1.5708__h200__trainseed2__evalbase1000.csv,0.92,0.050482810061488845,0.03275424169339166,-14.00402968961841,7.113857215560988,45.135,46.49987058932659,0.7843683416229866,0.28918246245742785,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.3751946075097774,-0.002819018109397915,0.0,-13.912734202664424,-0.09129548695398451,0.0,residual,0,tau_l1,0.0,none
ctrl-residual__pi-0-tau_l1-a0.0005__sf-none-dt2-qm0.15__pd-kp10-kd1-elauto__tau20-lama0.001__a2-m0.02-md0.07-phi-1.5708_1.5708__h200,3,1000,200,eval__ctrl-residual__pi-0-tau_l1-a0.0005__sf-none-dt2-qm0.15__pd-kp10-kd1-elauto__tau20-lama0.001__a2-m0.02-md0.07-phi-1.5708_1.5708__h200__trainseed3__evalbase1000.csv,1.0,0.04330974989744501,0.006255205884011329,-12.93897939909747,5.390983196778288,33.955,8.681579586722856,0.7843683416229866,0.28918246245742785,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.3755111969862401,-0.0024830679276619375,0.0,-12.856655515281432,-0.08232388381603925,0.0,residual,0,tau_l1,0.0,none
ctrl-residual__pi-0-tau_l1-a0.0005__sf-none-dt2-qm0.15__pd-kp10-kd1-elauto__tau20-lama0.001__a2-m0.02-md0.07-phi-1.5708_1.5708__h200,4,1000,200,eval__ctrl-residual__pi-0-tau_l1-a0.0005__sf-none-dt2-qm0.15__pd-kp10-kd1-elauto__tau20-lama0.001__a2-m0.02-md0.07-phi-1.5708_1.5708__h200__trainseed4__evalbase1000.csv,0.955,0.04680752482843083,0.02022617158317641,-13.564685020416945,5.621025371753982,40.945,35.619738966198234,0.7843683416229866,0.28918246245742785,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.3745210914429947,-0.002570374616027543,0.0,-13.479560464524447,-0.08512455589250174,0.0,residual,0,tau_l1,0.0,none
