exp_id,train_seed,eval_seed_base,d0_bin,success_rate,mean_final_distance,mean_return,mean_ep_len,mean_tau_l1,mean_pi_value,mean_filter_intervention_rate,mean_filter_delta_tau_norm,mean_d0,episodes_in_bin,control,use_pi_reward,pi_metric,alpha_pi,safety_filter
ctrl-direct__pi-0-tau_l1-a0.0005__sf-proj_box_jointlimit-dt2-qm0.15__tau20-lama0.001__a2-m0.02-md0.07-phi-1.5708_1.5708__h200,2,1000,"[0.087,0.642)",0.3181818181818182,0.4437042389906222,-79.23188293616076,157.6818181818182,0.0,0.0,0.07992424242424243,0.10284628236947385,0.4537252305637389,66,direct,0,tau_l1,0.0,proj_box_jointlimit
ctrl-direct__pi-0-tau_l1-a0.0005__sf-proj_box_jointlimit-dt2-qm0.15__tau20-lama0.001__a2-m0.02-md0.07-phi-1.5708_1.5708__h200,3,1000,"[0.087,0.642)",0.2727272727272727,0.21171075227082362,-57.901864926377,158.96969696969697,0.0,0.0,0.0027316480836922074,0.0007174623217229848,0.4537252305637389,66,direct,0,tau_l1,0.0,proj_box_jointlimit
ctrl-direct__pi-0-tau_l1-a0.0005__sf-proj_box_jointlimit-dt2-qm0.15__tau20-lama0.001__a2-m0.02-md0.07-phi-1.5708_1.5708__h200,4,1000,"[0.087,0.642)",0.3787878787878788,0.4013251211569999,-64.67624450007503,152.4848484848485,0.0,0.0,0.10182116733840871,0.10638607173630672,0.4537252305637389,66,direct,0,tau_l1,0.0,proj_box_jointlimit
ctrl-direct__pi-0-tau_l1-a0.0005__sf-proj_box_jointlimit-dt2-qm0.15__tau20-lama0.001__a2-m0.02-md0.07-phi-1.5708_1.5708__h200,0,1000,"[0.642,0.924)",0.10606060606060606,0.4982796525629539,-103.45695678589689,181.74242424242425,0.0,0.0,0.7346212121212121,1.3790787750888955,0.7906963271951564,66,direct,0,tau_l1,0.0,proj_box_jointlimit
ctrl-direct__pi-0-tau_l1-a0.0005__sf-proj_box_jointlimit-dt2-qm0.15__tau20-lama0.001__a2-m0.02-md0.07-phi-1.5708_1.5708__h200,1,1000,"[0.642,0.924)",0.5303030303030303,0.22344125925163535,-61.06344931897117,134.3030303030303,0.0,0.0,0.04136552299451795,0.01607851778110751,0.7906963271951564,66,direct,0,tau_l1,0.0,proj_box_jointlimit
ctrl-direct__pi-0-tau_l1-a0.0005__sf-proj_box_jointlimit-dt2-qm0.15__tau20-lama0.001__a2-m0.02-md0.07-phi-1.5708_1.5708__h200,2,1000,"[0.642,0.924)",0.3939393939393939,0.3988384666321637,-79.78952539146857,149.57575757575756,0.0,0.0,0.04522727272727273,0.07000201051246382,0.7906963271951564,66,direct,0,tau_l1,0.0,proj_box_jointlimit
ctrl-direct__pi-0-tau_l1-a0.0005__sf-proj_box_jointlimit-dt2-qm0.15__tau20-lama0.001__a2-m0.02-md0.07-phi-1.5708_1.5708__h200,3,1000,"[0.642,0.924)",0.3333333333333333,0.15145505197925885,-78.1184382481936,164.92424242424244,0.0,0.0,0.0061665225051598166,0.0027411913402319616,0.7906963271951564,66,direct,0,tau_l1,0.0,proj_box_jointlimit
ctrl-direct__pi-0-tau_l1-a0.0005__sf-proj_box_jointlimit-dt2-qm0.15__tau20-lama0.001__a2-m0.02-md0.07-phi-1.5708_1.5708__h200,4,1000,"[0.642,0.924)",0.42424242424242425,0.30130739228572945,-79.22063798884427,143.4090909090909,0.0,0.0,0.10902707558979984,0.11316363426997707,0.7906963271951564,66,direct,0,tau_l1,0.0,proj_box_jointlimit
ctrl-direct__pi-0-tau_l1-a0.0005__sf-proj_box_jointlimit-dt2-qm0.15__tau20-lama0.001__a2-m0.02-md0.07-phi-1.5708_1.5708__h200,0,1000,"[0.924,1.367]",0.029411764705882353,0.702710606673793,-143.1280018583545,194.8235294117647,0.0,0.0,0.7971323529411765,1.638190674786182,1.0991447869486801,68,direct,0,tau_l1,0.0,proj_box_jointlimit
ctrl-direct__pi-0-tau_l1-a0.0005__sf-proj_box_jointlimit-dt2-qm0.15__tau20-lama0.001__a2-m0.02-md0.07-phi-1.5708_1.5708__h200,1,1000,"[0.924,1.367]",0.27941176470588236,0.44719899219492787,-93.9702377732348,173.8235294117647,0.0,0.0,0.1220654314948342,0.07350267285392674,1.0991447869486801,68,direct,0,tau_l1,0.0,proj_box_jointlimit
